year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0.3,312.6,0.5,111.5,12.9,0,436.4,20.8,0,1.6,0,25.8,20.5,0.8,1.4,0,0,31.5,0,0,0.8,0,0,0,0.3,21.1,0,0,0.3,0,0,0,0.3,0,0,0,8.2,0,0,0,0,124.7,3.6,0,15.6,0,0.3,0,0.3,17.3,0.3,8.2,11,72.1
1962,0.3,305.8,0.5,112.6,13.4,0,451,20.5,0,0.8,0,25.5,15.6,0.8,1.1,0,0,31.5,0,0,2.2,0,0,0,0.3,17,0,0,0.3,0,0,0,0.3,0,0,0,7.9,0,0,0,0,120.8,4.1,0,18.4,0,0.3,0,0.3,16.7,0.3,8.8,11.2,71.5
1963,0.3,298.6,0.5,120.3,14,0,431.5,19.5,0,1.6,0,24.4,19.5,0.8,1.1,0,0,30.7,0,0,1.4,0,0,0,0.3,19.2,0,0,0.3,0,0,0,0.3,0,0,0,8.5,0,0,0,0,113.4,3.6,0,17.8,0,0.3,0,0.3,16.7,0.3,9.3,11.2,70.7
1964,0.3,294.8,0.5,120.8,14,0,424.4,19.5,0,1.1,0,25.2,17.3,0.5,1.1,0,0,30.7,0,0,1.4,0,0,0,0.3,15.6,0,0,0.3,0,0,0,0,0,0,0,8.8,0,0,0,0,106.8,3.8,0,20,0,0.3,0,0.3,17.3,0.3,9,11.2,70.1
1965,0.3,303.3,0.5,124.7,17.8,0,410.1,19.7,0,1.6,0,28.2,23.6,0.8,1.1,0,0,30.1,0,0,1.4,0,0,0,0.3,13.2,0,0,0.5,0,0,0,0.3,0,0,0,9.3,0,0,0,0,102.2,3,0,18.1,0,0.3,0.3,0.3,17.8,0.3,9.3,11.5,69.3
1966,0.3,309,0.5,134.8,24.9,0,402.2,20,0.3,2.5,0,27.4,34,0.8,1.4,0,0,31,0,0,1.6,0,0,0.5,1.6,22.2,0.3,0,0.3,0,0,0,1.4,0,0,0,10.1,0,0,0,0,128.5,3.8,0,20.3,0,0.3,0.3,0.5,19.5,0.3,9.9,11.5,69.6
1967,0.3,307.4,0.5,141.9,32.6,0,407.4,19.7,0,2.7,0,25.8,32.3,0.8,1.6,0,0,29.9,0,0,1.6,0,0,0.5,0.3,20,0,0,0.5,0,0,0,0.8,0,0,0,10.4,0,0,0,0,127.9,4.1,0,21.1,0,0.5,0.3,0.3,26.8,0.3,10.1,11.5,69.3
1968,0.3,277.5,0.5,146.3,40.3,0,406,19.2,5.8,2.7,0,23.8,37.5,1.4,1.4,0,0,31.8,0,0,1.6,0,0,0.5,0.5,18.4,0.3,0,0.5,0,0,0,1.6,0,0,0,11.2,0,0,0,0,124.1,4.1,0,19.2,0,0.3,0.3,0.3,32.3,0.3,9.9,11.2,69.9
1969,0.3,260.5,0.5,153.7,44.9,0,399.7,18.6,0.3,3.3,0,21.9,40.3,1.1,1.6,0,0,30.7,0,0,1.6,0,0,0.3,0.3,23.8,0,0,0.5,0,0,0,3.8,0,0,0,11.8,0,0,0,0,120.3,4.1,0,20.3,0,0.5,0.3,0.5,33.7,1.1,10.4,11.2,71
1970,0.3,247.7,0.8,163.8,49,0,368.8,18.1,0.3,3.3,0,20.3,64.1,0.5,2.2,0,0,29.6,0,0,1.6,0,0,0.5,0.5,22.2,0.3,0,0.8,0,0,0,4.4,0,0,0,11.2,0,0,0,0,119.5,3.8,0,20.3,0,0.3,0.5,0.5,38.6,0.3,10.1,11.2,69.9
