year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0.1,65.3,0.1,0.1,0.5,0,0,0.8,0,0,25.2,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.4,0.4,0,0,0,0,0.1,5.3,0,0.5,0,0.1,0.3,2.2,0,0,0.3,0.3,1.8
1962,0,0,0,66,0.1,0.1,0.5,0,0,0.7,0,0,25.4,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.5,0.3,0,0,0,0,0.1,3.1,0,0.4,0,0.1,0.3,2.1,0,0,0.3,0.3,1.8
1963,0,0,0.1,66.3,0.1,0.1,0.5,0,0,0.9,0,0,25.3,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.5,0,0,0,0,0.1,3.5,0,0.4,0,0.1,0.2,1.9,0,0,0.3,0.2,1.7
1964,0,0,0.1,56.7,0.1,0.1,0.5,0,0,1,0,0,25.6,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.3,0.6,0,0,0,0,0.1,3.6,0,0.4,0,0.1,0.3,2,0,0,0.3,0.4,1.8
1965,0,0,0.1,58.9,0.1,0.1,0.5,0,0,1.1,0,0,25.4,0.1,0.2,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.6,0.4,0,0,0,0,0.1,6.1,0,0.4,0,0.1,0.2,1.8,0,0,0.3,0.3,1.8
1966,0,0,0.1,65,0.1,0.1,0.5,0,0,0.4,0,0,23.6,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.5,0.4,0,0,0,0,0.1,3.5,0,0.4,0,0.1,0.3,1.6,0,0,0.3,0.3,1.8
1967,0,0,0.1,65.3,0.1,0.2,0.5,0,0,0.8,0,0,23.7,0.1,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.4,0,0,0,0,0.1,4.1,0,0.5,0,0.1,0.3,1.4,0,0,0.3,0.3,1.8
1968,0,0,0.1,68.9,0.1,0.1,0.5,0,0,1,0,0,23.8,0.1,0.2,0,0,0.2,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.3,0,0,0,0,0.1,4.4,0,0.4,0,0.1,0.3,1.5,0,0,0.3,0.3,1.8
1969,0,0,0.1,71.5,0.1,0.1,0.5,0,0,1.2,0,0,22.4,0.1,0.2,0,0,0.3,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.3,0,0,0,0,0.1,5.2,0,0.5,0,0.1,0.3,1.3,0,0,0.3,0.3,1.8
1970,0,0,0.1,67.4,0.1,0,0.5,0,0,1.3,0,0,24.3,0.1,0.3,0,0,0.3,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0,0,0,0,0.1,5.1,0,0.5,0,0.1,0.3,1.4,0,0,0.3,0.3,1.7
1971,0,0,0.1,60,0.1,0.2,0.6,0,0,0.7,0,0,23.9,0.1,0.3,0,0,0.3,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.3,0,0,0,0,0.1,4.3,0,0.5,0,0.1,0.3,1.3,0,0,0.3,0.3,1.7
1972,0,0,0.1,57.4,0.1,0.2,0.5,0,0,1.3,0,0,22.2,0.1,0.3,0,0,0.2,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.2,0,0,0,0,0.1,3.6,0,0.4,0,0.1,0.3,1.5,0,0,0.3,0.4,1.6
1973,0,0,0,59.4,0.1,0.1,0.6,0,0,1,0,0,22.6,0,0.4,0,0,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.1,0.1,0,0,0.1,0,0.1,3.4,0,0.5,0,0.1,0.3,1.5,0,0,0.3,0.4,1.7
1974,0,0,0.1,65.2,0.1,0.1,0.7,0,0,1.3,0,0,22.4,0.1,0.4,0,0,0.2,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.2,0,0,0,0,0.1,4.7,0,0.3,0,0.1,0.3,1.3,0,0,0.4,0.4,1.5
