year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0.3,23.4,0.2,0,0,0,0.8,0,0,0,0,1.8,0,1.9,0,0,0.7,1,0,52.5,0,0,0,0.1,0,0,0,0,0,0,0,0.3,2.4,0.9,0.1,0,0,0,0,0.1,0,0,0,1.1,0,0,0,0,0,0.2,0.7,2
1962,0,0,0.6,23.4,0.2,0,0,0,0.6,0,0,0,0,2.6,0,2.9,0,0,0.7,0.7,0,50.2,0,0,0,0.1,0,0,0,0,0,0,0,0.3,2.4,1.2,0.1,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0.2,0.8,1.8
1963,0,0,0.8,23.7,0.2,0,0,0,0.8,0,0,0,0,2.3,0,2.4,0,0,0.7,0.7,0,51.2,0,0,0,0.1,0,0,0,0,0,0,0,0.3,2.5,1.1,0.1,0,0.1,0,0,0.1,0,0,0,1.1,0,0,0,0,0,0.2,0.7,2.3
1964,0,0,0.5,24.9,0.2,0,0,0,0.8,0,0,0,0,2.2,0,2.4,0,0,0.7,0.9,0,51,0,0,0,0.1,0,0,0,0,0,0,0,0.4,2.5,1,0.1,0,0.2,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0.3,0.7,2.2
1965,0,0,1,26.2,0.2,0,0,0,0.8,0,0,0,0,2.4,0,2.6,0,0,0.7,1.2,0,51.4,0,0,0,0.1,0,0,0,0,0,0,0,0.4,2.6,1.2,0.2,0,0.1,0,0,0.1,0,0,0,1.3,0,0,0,0,0,0.2,0.9,1.9
1966,0,0,0.6,28.1,0.2,0,0,0,1.2,0,0,0,0,2.6,0,2.9,0,0,0.7,0.8,0,51.4,0,0,0,0.1,0,0,0,0,0,0,0,0.4,2.8,1.4,0.4,0,0.1,0,0,0.2,0,0,0,0.9,0,0,0,0,0,0.3,0.7,2.4
1967,0,0,0.6,29.2,0.2,0,0,0,1,0,0,0,0,3.2,0,2.5,0,0,0.7,0.5,0,48.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0.4,3.4,1.6,0.4,0,0.2,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0.3,0.7,2.1
1968,0,0,0.9,28.3,0.2,0,0,0,1.2,0,0,0,0,1.4,0,1.7,0,0,0.7,0.3,0,50.3,0,0,0,0.1,0,0,0,0,0,0,0,0.5,2.9,1.3,0.1,0,0.3,0,0,0.1,0,0,0,1.2,0,0,0,0,0,0.1,0.8,2
1969,0,0,0.9,28.8,0.2,0,0,0,1.2,0,0,0,0,1.7,0,1.5,0,0,0.8,0.4,0,50.1,0,0,0,0.1,0,0,0,0,0,0.1,0,0.5,2.8,1.1,0.2,0,0.2,0,0,0.1,0,0,0,1.2,0,0,0,0,0,0.2,0.8,2
1970,0,0,0.6,29.3,0.3,0,0,0,1.2,0,0,0,0,2.1,0,1.2,0,0,0.7,0.3,0,49.3,0,0,0,0.1,0,0,0,0,0,0.1,0,0.5,2.4,1.2,0.2,0,0.2,0,0,0.1,0,0,0,1.1,0,0,0,0,0,0.4,0.7,1.8
