"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,0,34.8,0,0,0,0,0,4.6,0,0,23.5,0,0.3,0,0.2,0.3,0,0.1,0.2,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,2.5,0,0,0,0.4,0,0.6,0,0,0,0,0.5,1.9,0,0,0.5,1,"3.1,"
1962,0,0,0,32.1,0,0,0,0,0,4.9,0,0,26,0,0.3,0,0.3,0.3,0,0.1,0.2,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,3.1,0,0,0,0.3,0,0.6,0,0,0,0,0.4,1.6,0,0,0.5,1.1,"3.1,"
1963,0,0,0,31.9,0,0,0,0,0,4.9,0,0,23.5,0,0.3,0,0.3,0.3,0,0.1,0.2,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,3.3,0,0,0,0.3,0,0.5,0,0,0,0,0.4,1.5,0,0,0.4,1.2,"3,"
1964,0,0,0,33.9,0,0,0,0,0,4.8,0,0,26.9,0,0.2,0,0.2,0.3,0,0.1,0.2,0,0.2,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,3.4,0,0,0,0.3,0,0.5,0,0,0,0.1,0.3,1.3,0,0,0.6,1.2,"2.6,"
1965,0,0,0.1,35.5,0,0,0,0,0,4.5,0,0,25,0,0.3,0,0.3,0.3,0,0.1,0.4,0,0.2,0,0,0,0.1,0.1,0,0,0.3,0,0,0,0,0,3.9,0,0,0,0.3,0,0.5,0,0,0,0.1,0.3,1,0,0,0.7,1.1,"2.6,"
1966,0,0,0.1,34.2,0,0,0,0,0,5.6,0,0,23.9,0,0.3,0,0.2,0.3,0,0.1,0.5,0,0.1,0.3,0,0,0.2,0.1,0,0,0.3,0,0,0,0,0,4.1,0,0,0,0.3,0,0.5,0,0,0,0.1,0.4,1,0,0,0.5,1.3,"2.4,"
1967,0,0,0.1,33.8,0,0,0,0,0,6.2,0,0,23.4,0.1,0.2,0,0.3,0.3,0,0.1,0.5,0,0.2,0.2,0,0,0.1,0.1,0,0,0.5,0,0,0,0,0,4,0,0,0,0.4,0,0.7,0,0,0,0.1,0.3,0.8,0,0,0.6,0.9,"2.9,"
1968,0,0,0.2,34.6,0,0,0,0,0,6.6,0,0,22,0.1,0.2,0,0.2,0.3,0,0.1,0.6,0,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0,0,0,0,0,4.3,0,0,0,0.4,0,0.6,0,0,0,0.2,0.4,0.7,0,0,0.5,1.3,"2.5,"
1969,0,0,0.1,33.1,0,0,0,0,0,7.1,0,0,21,0,0.2,0,0.2,0.2,0,0.1,0.5,0,0.2,0.2,0,0,0.1,0,0,0,0.2,0,0,0.4,0,0,4.2,0,0,0,0.3,0,0.6,0,0,0,0.2,0.3,0.6,0,0,0.5,0.9,"2.6,"
1970,0,0,0.1,32.9,0,0,0,0,0,7.3,0,0,20.8,0,0.2,0,0.2,0.3,0,0.1,0.6,0,0.2,0.1,0,0,0.1,0,0,0,0.3,0,0,0.4,0,0,4.4,0,0,0,0.3,0,0.6,0,0,0,0.2,0.3,0.6,0,0,0.5,1.1,"2.4,"
1971,0,0,0.1,32.4,0,0,0,0,0,7.2,0,0,19.5,0,0.3,0,0.2,0.2,0,0.1,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0,0.5,0,0,0.3,0,0,4,0,0,0,0.3,0,0.6,0,0,0,0.2,0.2,0.5,0,0,0.4,1.1,"2.4,"
1972,0,0,0.1,34.1,0,0,0,0,0,7.4,0,0,19.1,0,0.3,0,0.2,0.2,0,0.1,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0,0.3,0,0,0.5,0,0,3.9,0,0,0,0.4,0,0.6,0,0,0,0.3,0.2,0.6,0,0,0.4,1,"2.3,"
1973,0,0,0.1,32.8,0,0,0,0,0,7.2,0,0,18.8,0,0.3,0,0.2,0.2,0,0,0.4,0,0.4,0,0,0,0.1,0,0,0,0.4,2.4,0,0.4,0,0,3.5,0,0,0,0.3,0,0.6,0,0,0,0.3,0.2,0.9,0,0,0.4,1,"2.6,"
1974,0,0,0.1,33.8,0,0,0,0,0,7.3,0,0,18.8,0,0.3,0,0.2,0.2,0,0.1,0.4,0,0.4,0,0,0,0.1,0.1,0,0,0.6,0.3,0,0.4,0,0,3.3,0,0,0,0.4,0,0.6,0,0,0,0.3,0.2,0.9,0,0,0.4,1,"2.5,"
1975,0,0,0.1,35.3,0,0,0,0,0,7.2,0,0,18.4,0,0.5,0,0.2,0.2,0,0.1,0.4,0,0.5,0,0,0,0.1,0,0,0,0.3,0.1,0,0.4,0,0,3.5,0,0,0,0.5,0,0.6,0,0,0,0.3,0.2,1,0,0,0.4,0.9,"2.5,"
1976,0,0,0.1,36.8,0,0,0,0,0,7.4,0,0,18.5,0,0.4,0,0.2,0.3,0,0.1,0.4,0,0.6,0,0,0,0.1,0.1,0,0,0.6,8.5,0,0.4,0,0,3.5,0,0,0,0.6,0,0.6,0,0,0,0.3,0.2,1,0,0,0.4,1,"2.7,"
1977,0,0,0.1,42.6,0,0,0,0,0,7.6,0,0,18.9,0,0.2,0,0.1,0.3,0,0.1,0.4,0,0.6,0.1,0,0,0.1,0,0,0,0.4,0,0,0.3,0,0,3.6,0,0.1,0,0.6,0,0.8,0,0,0,0.3,0.2,1.2,0,0,0.5,0.8,"2.8,"
