"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,0,23.8,0.1,0,1.1,0,0,10.7,0,0,9.1,0,0.3,0,0,0,0,0,0.1,0,0.1,0.2,0,0.6,0,0,0,0,0,0.2,0,0,0.8,1.2,0.6,0,0,0,0.1,0.1,0.4,0,0,0,0.2,0,0.1,0.1,0,0.1,0,"0.5,"
1962,0,0,0,21.7,0.1,0,1,0,0,10.6,0,0,9.4,0,0.3,0,0,0,0,0,0.2,0,0.1,0.1,0,0.8,0,0,0,0,0,0.2,0,0,0.7,1,0.6,0,0,0,0.1,0.1,0.3,0,0,0,0.2,0,0.1,0.1,0,0.1,0,"0.5,"
1963,0,0,0,23.4,0.1,0,0.6,0,0,11.1,0,0,9.5,0,0.3,0,0,0,0,0,0.4,0,0.1,0.2,0,1,0,0,0,0,0,0.1,0,0,0.8,1.2,0.5,0,0,0,0.1,0.1,0.3,0,0,0,0.3,0,0.1,0.1,0,0.1,0,"0.6,"
1964,0,0,0,22.7,0.1,0,1.1,0,0,15.9,0,0,9.9,0,0.3,0,0,0,0.1,0,0.2,0,0.1,0.1,0,0.8,0,0,0,0,0,0.4,0,0,0.7,1.1,0.6,0,0,0,0.1,0.1,0.4,0,0,0,0.2,0,0.1,0.1,0,0.1,0,"0.7,"
1965,0,0,0,22.1,0.1,0,0.6,0,0,14.9,0,0,10.8,0,0.3,0,0,0,0,0,0.2,0,0.2,0.1,0,1,0,0,0,0,0,0.2,0,0,0.9,1.3,0.6,0,0,0,0.1,0.1,0.3,0,0,0,0.2,0,0.1,0,0,0.1,0,"0.6,"
1966,0,0,0,22.1,0.2,0,0.3,0,0,13.9,0,0,10.3,0,0.5,0,0,0,0,0,0.2,0,0.2,0.1,0,1.3,0,0,0,0,0,0.2,0,0,0.8,1.1,0.7,0,0,0,0.1,0.1,0.3,0,0,0,0.2,0,0.1,0,0,0.1,0,"0.7,"
1967,0,0,0,21.6,0.2,0,0.4,0,0,13.5,0,0,11.6,0,0.4,0,0,0,0,0,0.3,0,0.2,0.1,0,1.1,0,0,0,0,0,0.2,0,0,0.7,1.1,0.7,0,0,0,0.1,0.1,0.4,0,0,0,0.2,0,0.1,0,0,0.1,0.1,"0.8,"
1968,0,0,0,23,0.2,0,0.4,0,0,15.3,0,0,9.6,0,0.5,0,0,0,0.1,0,0.2,0,0.2,0.1,0,1,0,0,0,0,0,0.5,0,0,0.8,1.3,0.6,0,0,0,0.1,0.1,0.4,0,0,0,0.2,0,0.1,0,0,0.1,0.1,"0.7,"
1969,0,0,0,27.2,0.2,0,0.3,0,0,15.4,0,0,10.4,0,0.4,0,0,0,0,0,0.3,0,0.2,0.2,0,0.7,0,0,0,0,0,0.2,0,0,0.7,1.2,0.4,0,0,0,0.1,0.1,0.4,0,0,0,0.3,0.1,0.1,0,0,0.1,0,"0.7,"
1970,0,0,0,23.9,0.2,0,0.1,0,0,14.6,0,0,10.7,0,0.5,0,0,0,0,0,0.2,0,0.4,0.2,0,0.8,0,0,0,0,0,0.2,0,0,0.6,1.3,0.4,0,0,0,0.1,0.1,0.4,0,0,0,0.4,0,0.1,0,0,0.1,0,"0.6,"
1971,0,0,0,23.3,0.2,0,0.2,0,0,14.7,0,0,10.8,0,0.5,0,0,0,0,0,0.2,0,0.3,0.2,0,0.6,0,0,0,0,0,0.2,0,0,0.5,0.9,0.4,0,0,0,0.1,0.1,0.4,0,0,0,0.3,0.1,0.1,0,0,0.1,0,"0.7,"
1972,0,0,0,24.8,0.2,0,0.2,0,0,15.6,0,0,10.1,0,0.2,0,0,0,0.1,0,0.3,0,0.4,0.2,0,0.6,0,0,0,0,0,0.2,0,0,0.7,1.1,0.4,0,0,0,0.1,0.1,0.4,0,0,0,0.3,0.1,0.1,0,0,0.1,0,"0.6,"
1973,0,0,0,23.7,0.2,0,0.2,0,0,15.3,0,0,9.7,0,0.4,0,0,0,0.1,0,0.3,0,0.4,0.2,0,0.8,0,0,0,0,0,0.2,0,0,0.3,1.1,0.3,0,0,0,0.1,0.1,0.3,0,0,0,0.3,0.1,0.1,0,0,0.1,0,"0.5,"
1974,0,0,0,25,0.2,0,0.1,0,0,18.1,0,0,6.4,0,0.2,0,0,0,0.1,0,0.3,0,0.5,0.1,0,0.8,0,0,0,0,0,0.3,0,0,0.1,0.4,0.6,0,0,0,0.1,0.1,0.4,0,0,0,0.3,0.1,0.1,0,0,0.1,0,"0.6,"
1975,0,0,0,23.2,0.2,0,0.2,0,0,14.3,0,0,11.4,0,0.2,0,0,0,0.1,0,0.3,0,0.2,0.1,0,0.9,0,0,0,0,0,0.2,0,0,0,1.2,0.3,0,0,0,0.1,0.1,0.3,0,0,0,0.1,0.1,0.1,0,0,0.1,0,"0.4,"
1976,0,0,0,24.1,0.2,0,0.1,0,0,16.3,0,0,9.1,0,0.3,0,0,0,0.1,0,0.2,0,0.4,0.1,0,0.8,0,0,0,0,0,0.2,0,0,0.5,0.8,1.1,0,0,0,0.1,0.1,0.1,0,0,0,0.2,0.1,0.1,0,0,0.1,0,"0.5,"
1977,0,0,0,25.1,0.3,0,0.2,0,0,14.3,0,0,11.9,0,0.3,0,0,0,0.1,0,0.2,0,0.5,0.1,0,1,0,0,0,0,0,0.5,0,0,0.7,0.7,0.5,0,0,0,0.1,0.1,0.3,0,0,0,0.2,0.1,0.1,0,0,0.1,0,"0.5,"
1978,0,0,0,27.7,0.3,0,0.2,0,0,14.3,0,0,10.4,0,0.3,0,0,0,0,0,0.1,0,0.5,0.1,0,0.8,0,0,0,0,0,0.3,0,0,0.6,0.8,0.5,0,0,0,0.1,0.1,0.5,0,0,0,0.1,0.1,0.1,0,0,0.1,0,"0.5,"
1979,0,0,0,25.9,0.3,0,0.2,0,0,12.7,0,0,11.1,0,0.3,0,0,0,0,0,0.2,0,0.5,0.1,0,0.9,0,0,0,0,0,0.2,0,0,0.5,1,0.6,0,0,0,0.1,0.1,0.5,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,"0.6,"
1980,0,0,0,28,0.3,0,0.2,0,0,13.3,0,0,11.2,0,0.3,0,0,0,0,0,0.3,0,0.4,0.1,0,0.9,0,0,0,0,0,0.3,0,0,0.5,1,0.4,0,0,0,0.5,0.1,0.5,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0,"0.5,"
1981,0,0,0,28.9,0.3,0,0.3,0,0,12.5,0,0,11.7,0,0.4,0,0,0,0,0,0.3,0,0.5,0.1,0,0.7,0,0,0,0,0,0.2,0,0,0.6,1.1,0.9,0,0,0,0.7,0.1,0.6,0.1,0,0,0.2,0.1,0.1,0.1,0,0.1,0.1,"0.7,"
