year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,grains_barley,grains_cereals_other,grains_maize,grains_millets,grains_oats,grains_rice,grains_rye,grains_sorghum,grains_wheat,miscellaneous_miscellaneous,oils_coconuts,oils_cottonseed_oil,oils_groundnut,oils_oilcrops_other,oils_olives,oils_palm_oil,oils_rape_and_mustard,oils_sesame,oils_soybean,oils_sunflower,oils_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices-and-stimulants_cloves,spices-and-stimulants_cocoa_beans,spices-and-stimulants_coffee,spices-and-stimulants_pepper,spices-and-stimulants_pimento,spices-and-stimulants_spices_other,spices-and-stimulants_tea,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,sweeteners_sugar,sweeteners_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,0.2,53.7,0.1,0.1,0,0,0.2,0,0,0.2,0,1.3,0.3,0.2,0,0.6,0.2,0.1,0,23.3,0,0.1,0,0.4,0,0,0,0,0,0,0,0.3,0.5,1.1,0.1,0,0.3,0.1,0,0,0,1.2,0,4.3,0,0,0,0,0,0.2,0.3,1.9
1962,0,0,0.2,54.9,0.1,0.1,0,0,0.2,0,0,0.2,0,1.3,0.2,0.2,0,0.6,0.3,0.1,0,23.3,0,0.1,0,0.5,0,0,0,0,0,0,0,0.3,0.5,1.4,0.2,0,0.3,0.2,0,0,0,1.2,0,4.2,0,0,0,0,0,0.2,0.3,1.9
1963,0,0,0.2,54.4,0.1,0.1,0,0,0.2,0,0,0.1,0,1.3,0.3,0.2,0,0.6,0.2,0.1,0,22.9,0,0.1,0,0.3,0,0,0,0,0,0,0,0.2,0.5,1.4,0.2,0,0.4,0.2,0,0,0,1.2,0,4.4,0,0,0,0,0,0.2,0.3,2.2
1964,0,0,0.2,55.7,0.1,0.1,0,0,0.2,0,0,0.2,0,1.4,0.5,0.1,0,0.5,0.3,0.1,0,22.4,0,0.1,0,0.4,0,0,0,0,0,0,0,0.2,0.5,1.3,0.1,0,0.3,0.2,0,0,0,1.1,0,4.5,0,0,0,0,0,0.2,0.3,2.1
1965,0,0,0.2,54.9,0.1,0.1,0,0,0.2,0,0,0.1,0,1.4,0.4,0.3,0,0.6,0.3,0.1,0,22,0,0.1,0,0.5,0,0,0,0,0,0,0,0.2,0.6,1.3,0.1,0,0.3,0.1,0,0,0,1.2,0,4.5,0,0,0,0,0,0.2,0.3,2
1966,0,0,0.2,54.3,0.1,0.1,0,0,0.2,0,0,0.2,0,1.4,0.1,0.4,0,0.5,0.3,0.1,0,21.9,0,0.1,0,0.5,0,0,0,0,0,0,0,0.2,0.6,1.2,0.1,0,0.4,0.2,0,0,0,1.1,0,4.5,0,0,0,0,0,0.2,0.3,2.2
1967,0,0,0.1,54.6,0.1,0.1,0,0,0.2,0,0,0.2,0,1.4,0.2,0.6,0,0.5,0.2,0.1,0,21,0,0.1,0,0.5,0,0,0,0,0,0,0,0.2,0.7,1.4,0.1,0,0.3,0.2,0,0,0,1.1,0,4.5,0,0,0,0,0,0.2,0.3,2.3
1968,0,0,0.2,55.3,0.1,0.1,0,0,0.2,0,0,0.2,0,1.4,0.2,0.4,0,0.5,0.3,0.1,0,20.7,0,0.1,0,0.7,0,0,0,0,0,0,0,0.2,0.5,1.3,0.1,0,0.3,0.2,0,0,0,1.2,0,4.6,0,0,0,0,0,0.2,0.3,2.2
1969,0,0,0.2,54.7,0.1,0.1,0,0,0.2,0,0,0.2,0,1.5,0.5,0.5,0,0.5,0.3,0.1,0,20.8,0,0.1,0,0.7,0,0,0,0,0,0,0,0.2,0.5,1.6,0.1,0,0.4,0.3,0,0,0,0.9,0,4.5,0,0,0,0,0,0.2,0.3,2.5
1970,0,0,0.2,55.3,0.1,0.1,0,0,0.2,0,0,0.2,0,1.5,0.6,0.6,0,0.5,0.3,0.1,0,20.7,0,0.1,0,0.7,0,0,0,0,0,0,0,0.2,0.5,1.7,0.1,0,0.4,0.2,0,0,0,1.1,0,4.6,0,0,0,0,0,0.2,0.3,2.4
1971,0,0,0.2,55.1,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.3,0.5,0,0.5,0.4,0.1,0,20.7,0,0.1,0,0.6,0,0,0,0,0,0,0,0.1,0.5,1.3,0.1,0,0.3,0.3,0,0,0,1,0,4.4,0,0,0,0,0,0.2,0.3,2.3
1972,0,0,0.2,55.2,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.3,0.4,0,0.6,0.3,0.1,0,20.1,0,0.1,0,0.7,0,0,0,0,0,0,0,0.2,0.5,1.3,0.1,0,0.5,0.3,0,0,0,0.9,0,4.3,0,0,0,0,0,0.2,0.3,2.3
1973,0,0,0.1,53.6,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.2,0.6,0,0.6,0.3,0.1,0,20,0,0.1,0,0.9,0,0,0,0,0,0,0,0.2,0.5,1.3,0.1,0,0.4,0.3,0,0,0,0.9,0,4.4,0,0,0,0,0,0.2,0.4,2.5
1974,0,0,0.1,53.6,0.1,0.1,0,0,0.2,0,0,0.2,0,1.7,0.3,0.6,0,0.6,0.3,0.1,0,19.3,0,0.1,0,0.7,0,0,0,0,0,0,0,0.1,0.5,1.5,0.1,0,0.4,0.2,0,0,0.1,1,0,4.4,0,0,0,0,0,0.2,0.4,2.6
1975,0,0,0.1,53.2,0.1,0.1,0,0,0.2,0,0,0.2,0,1.7,0.4,0.6,0,0.6,0.3,0.1,0,20.2,0,0.1,0,0.8,0,0,0,0,0,0,0,0.1,0.5,1.1,0.1,0,0.3,0.2,0,0,0,0.9,0,4,0,0,0,0,0,0.2,0.2,2.4
1976,0,0,0.1,52.7,0.1,0.1,0,0,0.2,0,0,0.1,0,1.7,0.3,0.6,0,0.6,0.4,0,0,20.8,0,0.1,0,1,0,0,0,0,0,0,0,0.2,0.6,1.1,0.1,0,0.3,0.3,0,0,0,1,0,3.9,0,0,0,0,0,0.2,0.3,2
1977,0,0,0.1,51.9,0.1,0.1,0,0,0.2,0,0,0.1,0,1.7,0.2,0.6,0,0.6,0.4,0.1,0,20.5,0,0.1,0,1,0,0,0,0,0,0,0,0.2,0.5,1.6,0.1,0,0.2,0.2,0,0,0,1,0,4.3,0,0,0,0,0,0.3,0.4,2.8
1978,0,0,0.1,52.4,0.1,0.1,0,0,0.2,0,0,0.1,0,1.8,0.1,0.6,0,0.6,0.4,0.1,0,20,0,0.1,0,0.8,0,0,0,0,0,0,0,0.2,0.5,0.8,0.1,0,0.2,0.2,0,0,0,0.7,0,4.5,0,0,0,0,0,0.2,0.2,2.5
1979,0,0,0.1,53.2,0.1,0.1,0,0,0.2,0,0,0.1,0,1.8,0.1,0.6,0,0.6,0.3,0.1,0,19.9,0,0.1,0,1.1,0,0,0,0,0,0,0,0.2,0.6,1.4,0.2,0,0.2,0.3,0,0,0.1,0.8,0,4.7,0,0,0,0,0,0.2,0.3,2.5
1980,0,0,0.1,52,0.1,0.1,0,0,0.2,0,0,0.2,0,1.7,0.1,0.6,0,0.6,0.4,0.1,0,19.3,0,0.1,0,0.9,0,0,0,0,0,0,0,0.1,0.7,1,0.1,0,0.2,0.2,0,0,0,0.9,0,4.6,0,0,0,0,0,0.2,0.3,2.4
1981,0,0,0.1,52.4,0.1,0.1,0,0,0.2,0,0,0.2,0,1.5,0.1,0.6,0,0.6,0.4,0.1,0,19.1,0,0.1,0,1.1,0,0,0,0,0,0,0,0.1,0.6,0.9,0.1,0,0.3,0.3,0,0,0,0.7,0,4.6,0,0,0,0,0,0.2,0.3,2.4
1982,0,0,0.1,52.6,0.1,0.1,0,0,0.2,0,0,0.1,0,1.6,0.1,0.7,0,0.6,0.4,0,0,18.5,0,0.1,0,0.9,0,0,0,0,0,0,0,0.2,0.6,1.1,0.1,0,0.4,0.3,0,0,0,0.9,0,4.7,0,0,0,0,0,0.2,0.4,2.7
1983,0,0,0.1,51.9,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.1,0.7,0,0.6,0.5,0.1,0,19.3,0,0.1,0,1.1,0,0,0,0,0,0,0,0.2,0.6,1.1,0.1,0,0.2,0.3,0,0,0,0.8,0,4.5,0,0,0,0,0,0.2,0.4,2.5
1984,0,0,0.2,53,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.3,0.7,0,0.6,0.5,0.1,0,19.3,0,0.1,0,1,0,0,0,0,0,0,0,0.2,0.6,1.8,0.1,0,0.3,0.3,0,0,0.1,0.9,0,4.4,0,0,0,0,0,0.2,0.4,2.6
1985,0,0,0.2,53.9,0.1,0.1,0,0,0.2,0,0,0.1,0,1.6,0.2,0.6,0,0.6,0.5,0.1,0,20.9,0.1,0.1,0,1.1,0,0,0,0,0,0,0,0.2,0.6,2,0.1,0,0.3,0.3,0,0,0.1,0.8,0,4.6,0,0,0,0,0,0.3,0.4,2.3
1986,0,0,0.2,53.7,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.1,0.6,0,0.7,0.6,0.1,0,20.3,0.1,0.1,0,1.5,0,0,0,0,0,0,0,0.2,0.6,2.2,0.1,0,0.4,0.3,0,0,0.1,0.8,0,4.7,0,0,0,0,0,0.2,0.4,2.4
1987,0,0,0.2,54.2,0.1,0.1,0,0,0.2,0,0,0.2,0,1.6,0.1,0.6,0,0.6,0.5,0.1,0,21.2,0.1,0.1,0,1.2,0,0,0,0,0,0,0,0.2,0.6,1.4,0.1,0,0.4,0.3,0,0,0.1,0.7,0,4.6,0,0,0,0,0,0.3,0.4,2.1
1988,0,0,0.2,54,0.1,0.1,0,0,0.2,0,0,0.2,0,1.7,0.1,0.6,0,0.8,0.5,0.1,0,20.8,0.1,0.1,0,1.2,0,0,0,0,0,0,0,0.3,0.6,3.1,0.1,0,0.4,0.3,0,0,0.1,0.8,0,4.7,0,0,0,0,0,0.3,0.4,2.4
1989,0,0,0.2,53.8,0.1,0.2,0,0,0.2,0,0,0.2,0,1.7,0.1,0.6,0,0.8,0.5,0.1,0,20.7,0.1,0.1,0,1.2,0,0,0,0,0,0,0,0.3,0.6,1.4,0.1,0,0.5,0.3,0,0,0.1,0.8,0,4.7,0,0,0,0,0,0.2,0.4,2.4
1990,0,0,0.2,53.7,0.1,0.2,0,0,0.2,0,0,0.2,0,1.7,0.1,0.6,0,0.9,0.6,0.1,0,20.6,0.1,0.1,0,1.3,0,0,0,0,0,0,0,0.3,0.6,2.8,0.2,0,0.5,0.3,0,0,0.1,0.7,0,4.6,0,0,0,0,0,0.3,0.4,2.5
1991,0,0,0.2,53.3,0.1,0.2,0,0,0.2,0,0,0.2,0,1.6,0,0.6,0,0.8,0.6,0.1,0,20.9,0.1,0.1,0,1.3,0,0,0,0,0,0,0,0.3,0.6,2.1,0.1,0,0.6,0.3,0,0,0.1,0.7,0,4.4,0,0,0,0,0,0.3,0.5,2.5
1992,0,0,0.2,54.4,0.1,0.2,0,0,0.2,0,0,0.2,0,1.5,0.1,0.7,0,0.8,0.5,0.1,0,20.9,0.1,0.1,0,1.3,0,0,0,0,0,0,0,0.3,0.6,1.6,0.1,0,0.6,0.3,0,0,0.1,0.7,0,4.5,0,0,0,0,0,0.2,0.5,2.5
1993,0,0,0.2,52.8,0.1,0.2,0,0,0.2,0,0,0.2,0,1.5,0.1,0.7,0,0.7,0.4,0.1,0,20.9,0.3,0.1,0,1.3,0,0,0,0,0,0,0,0.3,0.6,3,0.1,0,0.4,0.3,0,0,0.1,0.7,0,4.7,0,0,0,0,0,0.3,0.4,2.5
1994,0,0,0.2,53.5,0.1,0.2,0,0.1,0.2,0,0,0.2,0,1.4,0.1,0.7,0,0.6,0.5,0.1,0,20.9,0.2,0.1,0,1.2,0,0,0,0,0,0,0,0.3,0.6,3.3,0.2,0,0.5,0.4,0,0,0.1,0.7,0,4.6,0,0,0,0,0,0.2,0.4,2.2
1995,0,0,0.2,53.3,0.1,0.2,0,0.1,0.2,0,0,0.2,0,1.4,0.1,0.7,0,0.7,0.4,0.1,0,21.4,0.2,0.1,0,1.2,0,0,0,0.1,0,0,0,0.3,0.6,2.5,0.1,0,0.5,0.3,0,0,0.1,0.6,0,4.7,0,0,0,0,0,0.3,0.4,2.1
1996,0,0,0.2,54.4,0.1,0.2,0,0.1,0.2,0,0,0.2,0,1.4,0,0.7,0,0.7,0.5,0.1,0,22,0.1,0.1,0,1.3,0,0,0,0.1,0.1,0,0,0.2,0.6,2,0.1,0,0.6,0.3,0,0,0.1,0.7,0,4.8,0,0,0,0,0,0.2,0.4,2.3
1997,0,0,0.2,54.4,0.1,0.2,0,0.1,0.2,0,0,0.2,0,1.5,0,0.7,0,0.7,0.5,0.1,0,23,0.1,0.1,0,1.5,0,0,0,0.1,0,0,0,0.3,0.6,3.2,0.1,0,0.5,0.3,0,0,0.1,0.7,0,4.9,0,0,0,0,0,0.3,0.4,2.3
1998,0,0,0.2,55.1,0.1,0.3,0,0,0.2,0,0,0.3,0,1.6,0,0.7,0,0.9,0.8,0.1,0,23.7,0.3,0.1,0,1.5,0,0,0,0.1,0,0,0,0.2,0.6,2.8,0.1,0,0.5,0.4,0,0,0.1,0.7,0,4.7,0,0,0,0,0,0.3,0.5,2.3
1999,0,0,0.2,55.2,0.1,0.3,0,0,0.3,0,0,0.2,0,1.6,0,0.7,0,0.9,0.7,0.1,0,23.8,0.3,0.1,0,1.3,0,0,0,0.1,0,0,0,0.3,0.6,3.4,0.2,0,0.6,0.3,0,0,0.1,0.6,0,4.9,0,0,0,0,0,0.3,0.5,2.4
2000,0,0,0.2,55.1,0.1,0.3,0,0,0.3,0,0,0.2,0,1.4,0,0.7,0,0.9,0.8,0.1,0,24.1,0.3,0.1,0,1.1,0,0,0,0.1,0.1,0,0,0.3,0.6,2.8,0.1,0,0.5,0.3,0,0,0.1,0.6,0,5.2,0,0,0,0,0,0.3,0.5,2.3
2001,0,0,0.2,57,0.1,0.3,0,0,0.3,0,0,0.2,0,1.4,0,0.7,0,1,0.9,0.1,0,23,0.3,0.1,0,1.3,0.1,0,0,0.1,0.1,0,0,0.3,0.6,3.3,0.2,0,0.5,0.3,0,0,0.1,0.6,0,5.1,0,0,0,0,0,0.3,0.5,2.5
2002,0,0,0.2,57.9,0.1,0.3,0,0,0.3,0,0,0.3,0,1.4,0.1,0.7,0,1.3,1,0.1,0,24.7,0.3,0,0,1,0,0,0,0.1,0,0,0,0.3,0.3,2.4,0.2,0,0.4,0.3,0,0,0.1,0.6,0,5.4,0,0,0,0,0,0.3,0.5,2.4
2003,0,0,0.2,58.9,0.1,0.3,0,0,0.3,0,0,0.4,0,1.5,0.1,0.7,0,1,1.1,0.1,0,24.6,0.4,0.1,0,1.2,0,0,0,0.1,0,0,0,0.3,0.1,2.5,0.1,0,0.4,0.3,0,0,0.1,0.5,0,5,0,0,0,0,0,0.3,0.6,2.3
2004,0,0,0.2,59.2,0.1,0.3,0,0,0.3,0,0,0.4,0,1.5,0,0.7,0,1,1,0.1,0,24.6,0.4,0,0,1.1,0,0,0,0.1,0.1,0,0,0.4,0.1,1.9,0.2,0,0.5,0.4,0,0,0.1,0.6,0,5.1,0,0,0,0,0,0.3,0.5,2.4
2005,0,0,0.2,59.3,0.1,0.3,0,0,0.4,0,0,0.4,0,1.5,0.1,0.7,0,1,1,0.1,0,24.3,0.8,0,0,1.4,0,0,0,0.1,0,0,0,0.5,0.1,1.6,0.2,0,0.6,0.4,0,0,0.2,0.6,0,4.8,0,0,0,0,0,0.4,0.5,2.5
2006,0,0,0.2,60.3,0.1,0.3,0,0,0.4,0,0,0.5,0,1.4,0.1,0.7,0,1.2,1.1,0.1,0,24.3,0.6,0,0,1.2,0,0,0,0.1,0.1,0,0,0.6,0.1,1.5,0.2,0,0.8,0.4,0,0,0.2,0.6,0,4.4,0,0,0,0,0,0.3,0.5,2.3
2007,0,0,0.2,60.1,0.1,0.3,0,0,0.4,0,0,0.4,0,1.3,0.1,0.8,0,1.4,1.1,0.1,0,24.4,0.5,0.1,0,1.3,0,0,0,0.1,0.1,0,0,0.6,0.1,1.6,0.2,0,1,0.4,0,0,0.2,0.6,0,4.4,0,0,0,0,0,0.3,0.6,2.2
2008,0,0,0.2,58.5,0.1,0.3,0,0,0.4,0,0,0.5,0,1.3,0.1,0.6,0,1.4,1.3,0.1,0,24.9,0.6,0,0,1.2,0,0,0,0.1,0.1,0,0,0.5,0.1,1.4,0.2,0,0.8,0.4,0,0,0.2,0.6,0,4.3,0,0,0,0,0,0.4,0.5,2.4
2009,0,0,0.2,59.6,0.1,0.3,0,0,0.3,0,0,0.4,0,1.2,0.1,0.6,0,1.4,1.2,0.1,0,24.9,0.6,0,0,1.2,0,0,0,0.1,0,0,0,0.4,0.1,1.5,0.2,0,0.8,0.4,0,0,0.2,0.5,0,4.3,0,0,0,0,0,0.3,0.5,2.3
