year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,5,0,30,113,8,2,13,0,0,27,0,0,85,0,61,0,0,29,0,0,2,3,1,0,0,135,18,0,77,0,1,0,0,0,16,15,1,0,0,0,0,1299,2,34,14,72,0,0,0,17,2,0,1,8
1962,3,0,24,107,8,2,13,0,0,32,0,0,101,0,60,0,0,29,0,0,2,3,1,0,0,165,17,1,79,0,1,0,0,0,17,15,1,0,0,0,0,1265,2,34,16,72,1,0,0,14,2,0,1,8
1963,2,0,20,110,6,0,40,0,0,39,0,0,107,0,63,0,0,28,0,0,1,3,1,0,0,116,17,0,125,0,1,0,0,1,18,16,1,0,0,0,0,1206,2,34,15,73,1,0,0,34,2,0,2,8
1964,2,0,21,113,8,0,38,0,0,28,0,0,117,0,63,0,0,26,0,0,1,3,1,0,0,108,17,0,133,0,1,0,0,0,18,16,1,0,0,0,0,1250,3,33,17,71,0,0,0,28,2,0,2,8
1965,1,0,17,101,7,0,37,0,0,34,0,0,108,0,63,0,0,25,0,0,1,2,1,0,0,108,18,0,138,0,1,0,0,0,18,16,0,0,0,0,0,1217,2,34,16,75,0,0,0,30,1,0,1,8
1966,1,0,16,100,9,0,36,0,0,46,0,0,105,0,65,0,0,25,0,0,1,2,1,0,0,101,18,0,146,0,0,0,0,0,19,17,0,0,0,0,0,1135,2,34,18,80,0,0,0,28,1,0,2,8
1967,1,0,17,100,11,0,35,0,0,47,0,0,122,0,64,0,0,25,0,0,1,2,1,0,0,109,18,0,175,0,0,0,0,0,19,17,0,0,0,0,0,1070,2,34,17,85,1,0,0,27,1,0,2,6
1968,1,0,14,108,14,0,53,0,0,60,0,0,124,0,63,0,0,25,0,0,1,2,1,0,0,103,18,0,179,0,1,0,0,0,19,17,0,0,0,0,0,1029,2,34,19,87,1,0,0,25,1,0,2,8
1969,1,0,16,116,15,0,28,0,0,43,0,0,127,0,64,0,0,24,0,0,1,2,1,0,0,100,20,0,183,0,0,0,0,0,19,17,0,0,0,0,0,975,2,33,18,88,1,0,0,28,1,0,2,7
1970,2,0,13,104,14,0,27,0,0,28,0,0,132,0,65,0,0,24,0,0,1,2,1,0,0,90,17,0,177,0,1,0,0,0,19,17,0,0,0,0,0,975,2,33,18,93,1,0,0,26,1,0,2,7
1971,1,0,12,104,17,0,43,0,0,28,0,0,161,0,64,0,0,23,0,0,1,2,1,0,0,99,26,0,159,0,0,0,0,0,19,17,0,0,0,0,0,971,3,32,19,87,3,0,0,31,1,0,2,7
1972,2,0,13,115,17,2,29,0,0,41,0,0,183,0,71,0,0,23,0,0,1,2,1,0,0,121,26,0,155,0,0,0,0,0,19,17,0,0,0,0,0,970,2,32,18,81,4,0,0,42,1,0,2,7
