year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,2,4,0,167,200,390,181,37,1,0,0,271,193,0,1,0,0,2,0,0,0,0,0,0,0,3,40,0,0,6,11,2,0,5,16,32,115,0,0,27,0,0,14,62,8,17,0,3,0,17,0,1,0,5
1962,2,4,0,167,198,390,169,36,1,0,0,270,190,0,2,0,0,2,0,0,0,0,0,0,0,4,39,0,0,5,12,2,0,5,17,32,118,0,0,27,0,0,13,60,8,17,0,3,0,19,0,1,0,5
1963,2,4,0,161,197,390,167,35,1,1,0,270,187,0,1,0,0,3,0,0,0,0,0,0,0,3,38,0,0,5,12,2,0,5,16,32,120,0,0,27,0,0,13,59,8,19,0,3,0,21,0,1,1,5
1964,2,4,0,158,195,396,198,35,1,1,0,253,180,0,2,0,0,2,0,0,0,0,0,0,0,3,38,0,0,5,9,3,0,5,15,29,113,0,0,26,0,0,13,58,8,19,0,3,0,20,0,1,1,5
1965,2,4,0,158,196,390,203,35,1,1,0,201,191,0,2,0,0,2,0,0,0,0,0,0,0,4,37,0,0,5,5,2,0,5,17,31,126,0,0,26,0,0,13,58,8,19,0,3,0,24,0,1,1,5
1966,2,4,0,158,195,384,160,34,1,3,0,185,199,0,2,0,0,3,0,0,0,0,0,0,1,4,37,0,0,5,8,3,0,5,10,30,129,0,0,26,0,0,13,57,9,18,0,3,0,28,0,1,1,5
1967,2,4,0,157,186,379,192,33,1,0,0,175,194,0,2,0,0,3,0,0,0,0,0,0,1,5,38,0,0,5,15,3,0,5,10,30,132,0,0,25,0,0,13,57,8,18,0,3,0,26,0,1,1,5
1968,2,4,0,155,175,374,144,33,1,0,0,165,192,0,2,0,0,3,0,0,0,0,0,1,2,5,38,0,0,5,15,3,0,5,10,30,133,0,0,25,0,0,13,57,9,18,0,3,0,26,0,1,1,5
1969,2,4,0,153,175,370,179,32,1,0,0,175,194,0,2,0,0,3,0,0,0,0,0,1,2,6,38,0,0,5,17,3,0,5,10,30,132,0,0,25,0,0,13,56,9,18,0,3,0,25,0,1,1,5
1970,2,4,0,153,175,305,188,32,1,0,0,204,206,0,2,0,0,3,0,0,0,0,0,0,2,6,39,0,0,5,18,4,0,5,10,31,137,0,0,24,0,0,12,56,8,18,0,3,0,30,0,1,1,5
1971,2,4,0,135,174,301,197,31,1,0,0,192,202,0,2,0,0,3,0,0,0,0,0,1,1,7,38,0,0,5,25,3,0,5,10,30,132,0,0,25,0,0,12,55,9,17,0,3,0,31,0,1,1,5
1972,2,4,0,131,169,302,143,31,1,0,0,186,201,0,2,0,0,3,0,0,0,0,0,1,1,6,35,0,0,5,8,4,0,6,7,30,132,0,0,24,0,0,12,55,8,17,0,3,0,29,0,1,1,5
1973,1,3,0,127,148,300,205,23,1,0,0,198,141,0,2,0,0,3,0,0,0,0,0,1,1,6,32,0,0,5,7,4,0,6,5,11,121,0,0,23,0,0,12,59,9,17,0,3,0,31,0,1,1,5
1974,1,3,0,125,145,291,197,23,1,0,0,193,164,0,2,0,0,3,0,0,0,0,0,1,2,5,30,0,0,4,6,4,0,6,4,14,107,0,0,23,0,0,12,68,9,16,0,3,0,33,0,1,1,5
1975,1,3,0,118,120,275,260,28,2,0,0,160,164,0,2,0,0,3,0,0,0,0,0,0,1,5,35,0,0,4,4,4,0,7,2,9,103,0,0,23,0,0,12,82,8,16,0,4,0,30,0,1,1,5
1976,1,8,0,119,97,236,255,69,2,0,0,204,129,0,2,0,0,3,0,0,0,0,0,0,3,6,34,0,0,4,14,4,0,6,3,9,90,0,0,23,0,0,12,90,8,17,0,4,0,31,0,1,1,5
1977,1,3,0,120,165,230,223,30,2,0,0,185,143,0,2,0,0,3,0,0,0,0,0,0,3,6,35,0,0,4,13,4,0,7,7,22,112,0,0,23,0,0,13,108,8,17,0,4,0,30,0,1,1,6
1978,1,4,0,121,124,233,232,36,2,1,0,224,146,0,2,0,0,3,0,0,0,0,0,0,2,5,36,0,0,4,13,4,0,7,3,18,105,0,0,22,0,0,13,126,8,16,0,4,0,29,0,1,1,6
1979,1,4,0,124,170,256,261,34,2,1,0,257,142,0,3,0,0,3,0,0,0,0,0,0,3,5,36,0,0,3,12,3,0,8,2,27,142,0,0,22,0,0,14,143,8,15,0,4,0,41,0,1,1,6
1980,2,4,0,121,185,316,208,36,1,0,0,219,185,0,3,0,0,3,0,0,0,0,0,0,4,5,39,0,0,3,10,2,0,8,5,51,167,0,0,22,0,0,14,149,8,15,0,3,0,42,0,1,1,6
1981,2,4,0,121,185,283,213,34,7,2,0,235,149,0,3,0,0,3,0,0,0,0,0,0,4,7,35,0,0,5,7,4,0,8,3,30,148,0,0,21,0,0,13,155,9,15,0,3,0,36,0,1,1,6
1982,1,4,0,118,154,268,232,31,11,1,0,260,180,0,3,0,0,3,0,0,0,0,0,0,4,6,41,0,0,4,7,3,0,9,2,33,133,0,0,21,0,0,13,159,8,15,0,3,0,36,0,1,1,6
1983,2,4,0,115,193,246,215,32,10,5,0,235,183,0,3,0,0,3,0,0,0,0,0,0,3,5,36,1,0,7,11,3,0,9,5,26,161,0,0,20,0,0,14,162,8,14,0,2,0,38,0,1,1,5
1984,1,3,0,108,124,227,264,30,3,2,0,202,156,0,2,0,0,3,0,0,0,0,0,0,2,8,35,0,0,3,8,1,0,9,7,21,110,0,0,18,0,0,12,141,8,12,0,2,0,39,0,1,0,5
1985,1,3,0,116,124,205,236,27,4,3,0,178,223,0,2,0,0,3,0,0,0,0,0,0,3,8,38,0,0,8,9,11,0,9,5,15,84,0,0,16,0,0,13,144,8,12,0,3,0,39,0,1,0,5
1986,1,3,0,133,131,224,256,27,4,2,0,206,215,0,2,0,0,3,0,0,0,0,0,0,2,9,31,1,0,11,10,5,0,9,4,12,77,0,0,16,0,0,13,155,8,11,0,3,0,38,0,1,0,5
1987,1,2,0,100,137,186,291,21,5,3,0,205,209,0,2,0,0,3,0,0,0,0,0,0,2,8,32,0,0,6,7,3,0,8,5,14,77,0,0,15,0,0,12,157,7,10,0,3,0,35,0,1,0,5
1988,1,3,0,102,144,171,292,22,7,2,0,193,271,0,2,0,0,3,0,0,0,0,0,0,1,7,37,2,0,9,8,12,0,8,7,12,79,0,0,15,0,0,12,167,7,10,0,2,0,31,0,1,0,5
1989,1,2,0,102,140,186,280,14,6,8,0,183,228,0,2,0,0,2,0,0,0,0,2,0,2,8,30,1,0,11,8,10,0,8,11,12,74,0,0,15,0,0,12,155,7,10,0,2,0,31,0,1,0,5
1990,1,2,0,102,131,188,269,19,6,2,0,173,212,0,2,0,0,2,0,0,0,0,5,0,2,7,32,1,0,12,8,12,0,8,12,15,78,0,0,15,0,0,11,170,7,10,0,1,0,29,0,1,0,5
1991,1,2,0,97,116,251,240,20,8,2,0,154,223,0,2,0,0,2,0,0,0,0,6,0,1,7,30,0,3,18,9,12,0,8,15,17,105,0,0,14,0,0,11,158,7,10,0,2,0,26,0,1,0,5
1992,1,2,0,95,109,210,251,21,5,2,0,148,242,0,2,0,0,2,0,0,0,0,2,0,1,7,28,0,4,23,9,11,0,8,13,24,90,0,0,14,0,0,11,166,7,10,0,2,0,27,0,1,0,5
1993,0.9,2.7,0,83.3,96.9,197.5,330.4,23.1,4.7,3.8,0,151.5,211.4,0,1.9,0,0,1.9,0,0,0,0,0,0,1.9,2.5,12.6,0,4.7,7.4,1,7.6,0,7.6,6.1,15.2,65.8,0,0,16,0.1,0,10.6,186.6,6.6,7.6,0,1.9,0,29.7,0,0.9,0,5.9
1994,0.9,2.7,0,81.2,98.2,197.8,331.8,27.4,3.8,3.3,0,167.4,232.9,0,0.9,0,0,2,0,0,0,0,0,0,1.9,2.2,14.3,0,3.8,5.8,0.9,8.9,0,7.6,6.2,12.4,67.5,0,0,17,0.1,0,10.5,193.5,6.6,7.6,0,1.9,0,25.4,0,0.9,0,6.9
1995,0.9,2.7,0,81.2,108.8,201,325.6,24.1,4.7,1.4,0,177.3,226.4,0,0.9,0,0,2.9,0,0,0,0,0,0,0.9,2.2,15.3,0,3.8,4.5,0.9,4.7,0.2,7.6,6.4,12.8,84.2,0,0,14.2,0.1,0,9.5,199.2,6.6,7.6,0,1.9,0,29.1,0,0.9,0,6.9
1996,0.9,3.4,0,85.1,103.7,214.9,351.4,31.6,9.5,4.8,0,183.6,228,0,0.9,0,0,1.9,0,0,0,0,0,0,0.9,2.2,16.8,0.9,2.8,4,0.7,8.8,0.1,7.6,8.3,13.7,84.5,0,0,14.2,1.1,0,9.5,200.1,6.6,6.6,0,1.9,0,34.4,0,0.9,0,6.9
1997,0.9,4.3,0,84.1,105.8,231.6,362.7,35.5,7.6,2.2,0,188.3,229.7,0,1.9,0,0,2.9,0,0,0,0,0,0,0.9,1.3,10.8,0,6.6,2.9,0.6,2.9,0.9,8.5,9.5,15.3,85.2,0,0,10.4,0.1,0,9.5,200.3,7.6,7.6,0,1.9,0,36.5,0,0.9,0,7.8
1998,0.9,3.5,0,84.9,106.9,229.2,361.3,31.9,5.7,3,0,197.8,230.2,0,1.9,0,0,6.7,0,0,0,0,0.9,0,0.9,1.3,11.1,0,4.7,2.9,0.6,3.7,0,7.6,9.5,16.4,84.9,0,0,14.2,0.1,0,9.6,202.7,7.6,5.7,0,1.9,0,35.3,0,0.9,0.1,7.8
1999,0.9,5,0,84.6,106.7,225.2,377.3,41.2,5.7,2.8,0,197.6,241.4,0,1.9,0,0,6.7,0,0,0,0,0,0,0.9,1.2,10.2,0,7.6,4.1,0.7,4.7,0.1,6.6,12.7,17.3,80.2,0,0,14.2,0.1,0,9.4,204.9,8.5,6.6,0,1.9,0,37.3,0,0.9,0.1,7.8
2000,0.9,4.1,0,83,101.4,226.9,379.8,34,4.7,1.9,0,196.3,289.6,0,1.9,0,0,10.5,0,0,0,0,0.1,0,0.9,2.1,10.8,0,3.8,3.7,0.4,7.7,0.1,6.6,12.9,19.3,88.1,0,0,14.2,0.1,0,9.6,206.5,11.4,6.6,0,1.9,0,36.4,0,0.9,0.1,7.8
2001,0.9,4.2,0,84.8,105.9,221.6,368.8,33.7,5.7,2.2,0,199.5,320.6,0,2.8,0,0,10.5,0,0,0,0,0.1,0,0.9,2.1,17.3,0,6.6,3.2,0.4,9.5,0.1,7.6,12.7,20.6,87.8,0,0,14.2,0.1,0,9.8,209.3,13.2,7.6,0,1.9,0,36.1,0,0.9,0.1,7.8
2002,0.9,3.2,0,92.9,111.4,224.2,363.8,30.3,2.8,2.8,0,198.8,324.8,0,2.8,0,0,10.5,0,0,0,0,0,0,1.9,2.1,17.9,0,6.6,2.2,0.7,4.3,0.1,6.6,12.5,20.3,89.1,0,0,13.2,0.1,0,7.9,211.5,11.3,6.6,0,1.9,0,34.2,0,1.9,0.1,8.7
2003,0.9,3,0,90.3,110.2,229.2,354,28.9,3.8,3.8,0,203.8,344.2,0,3.8,0,0,10.5,0,0,0,0,0.1,0,1.9,3.9,21.1,0,8.5,2,0.7,4.9,0,6.6,11.5,22.6,88.2,0,0,13.2,0.1,0,10.6,214.6,17,6.6,0,0.9,0,36.5,0,1.9,0.1,9.7
2004,0.9,3.9,0,91,125.3,234.7,332.8,30.3,4.7,2.8,0,195.2,331.4,0,3.8,0,0,10.5,0,0,0,0,0.1,0,1.9,3.9,25.8,0,8.5,2.9,0.8,7.1,0,5.7,16.5,24.2,97.2,0,0,13.2,0.1,0,10.7,220.1,15.1,5.7,0,0.9,0,50.1,0,1.9,0.1,9.6
2005,0.9,4.2,0,93.9,128.1,250.6,372.5,37.5,4.7,2.9,0,213.8,304.5,0,3.8,0,0,10.5,0,0,0,0,0.1,0,0.9,5.1,28.5,0.9,9.4,2.8,0.8,7,0,6.6,16.5,24,102,0,0,13.2,0.1,0,8.8,222.9,13.2,4.7,0,0.9,0.1,49.2,0.9,1.9,0.1,10.6
2006,0.9,5,0,98.5,123.5,249.5,380.4,45.1,4.7,4.7,0,226.1,308,0,3.8,0,0,8.5,0,0,0.9,0,0,0,0.9,5,22.2,0,12.3,2.8,1.7,6.5,0,4.7,13.2,21.1,105.8,0,0,10.4,0.1,0,8.7,226.3,12.3,6.6,0,1.9,0.1,50.5,0,1.9,0,8.7
2007,0.9,4.1,0,97.9,118.5,254.4,369.5,36,2.8,6.6,0,226.7,301.2,0,4.7,0,0,9.5,0,0,0.9,0,0,0,0.9,7.4,21.7,0,20.7,2.8,1.9,6.1,0.1,5.7,14.1,24.5,111.6,0,0,10.4,0.1,0,10.4,224.4,12.2,7.5,0,2.8,0,51.4,0,1.9,0,8.8
2008,0.9,5.1,0,97.4,118,244.8,388.4,41.5,2.8,4.8,0,234.1,324.8,0,4.7,0,0,7.6,0,0,0.9,0,0.9,0,0.9,5.7,25.1,0,40.5,3.8,0.4,3.2,0,5.6,16,25.4,116.8,0,0,12.2,0.1,0,6.6,211.2,16,5.6,0,1.9,0,52.6,1.9,1.9,0.1,10.6
2009,0.9,4.8,0,97.5,115.6,246.1,395.2,45.5,3.8,5.7,0,237.1,328,0,3.8,0,0,6.6,0,0,0,0,0,0,0.9,5.8,17.1,0,41.4,1.9,0.2,1.2,0.8,4.7,19.8,31.2,128.2,0,0,11.3,0.1,0,10.4,206.1,13.2,10.4,0,1.9,0,50.6,0,1.9,0.1,14.4
