year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,23,0,29,941,127,17,14,0,19,15,237,0,418,26,10,0,1,48,0,1,10,2,0,53,0,13,5,1,44,18,0,89,40,16,3,8,2,0,0,0,1,0,255,0,0,0,27,4,0,322,12,3,2,26
1962,27,0,30,947,134,17,13,0,18,18,228,0,423,42,10,0,1,43,0,1,10,2,0,47,0,30,31,1,8,39,0,117,27,15,5,7,1,0,1,0,1,0,247,0,0,0,30,4,0,317,13,3,2,27
1963,28,0,31,959,138,19,11,0,19,18,214,0,413,44,10,0,2,48,0,1,9,2,0,46,0,29,14,1,41,2,0,105,43,14,6,6,1,0,1,0,1,0,244,0,0,0,29,4,0,322,13,4,2,30
1964,32,0,34,963,150,18,12,0,19,15,211,0,488,32,11,0,1,44,0,1,10,2,0,61,0,25,20,1,18,4,0,116,43,16,5,5,1,0,0,0,1,0,234,0,0,0,30,5,0,333,16,4,2,28
1965,38,0,34,960,153,15,24,0,17,19,210,0,496,35,12,0,2,40,0,1,11,2,0,67,0,33,33,1,22,4,0,97,47,17,5,6,1,0,1,1,1,0,222,0,0,0,35,5,0,317,18,4,2,26
1966,33,0,36,957,157,15,30,0,18,23,201,0,482,39,13,0,2,47,1,1,12,2,1,64,0,35,22,1,19,3,0,94,52,17,5,6,1,0,1,1,1,0,221,0,0,0,34,5,0,333,18,4,3,31
1967,34,0,36,983,159,16,19,0,17,17,193,0,478,52,13,0,1,38,1,1,11,2,1,67,0,34,11,0,16,39,0,83,48,16,4,6,1,0,1,1,1,0,222,0,0,0,33,5,0,323,18,4,3,30
1968,38,0,36,1001,164,15,22,0,18,16,185,0,472,57,12,0,0,52,1,1,11,2,0,38,0,38,9,1,18,38,0,116,41,18,5,5,1,0,1,1,1,0,221,0,0,0,32,5,0,345,18,3,3,28
1969,42,0,37,1013,173,14,25,0,16,16,185,0,469,58,11,0,1,41,1,1,11,2,1,5,0,33,29,1,6,45,0,107,61,17,5,6,1,0,1,1,1,0,214,0,0,0,31,5,0,338,19,4,4,29
1970,46,0,40,1052,178,13,27,0,16,15,184,0,463,48,12,0,1,46,1,1,13,2,1,15,0,33,27,1,14,10,0,124,63,17,5,6,0,0,1,1,1,0,210,0,0,0,31,5,0,353,21,5,4,32
1971,53,0,42,1055,184,15,28,0,16,16,176,0,463,48,14,0,2,42,1,1,12,3,0,36,0,29,7,1,21,43,0,106,52,18,5,4,0,0,1,1,1,0,208,0,0,0,35,6,0,356,26,5,4,31
1972,47,0,45,1051,186,12,30,0,16,18,172,0,462,44,15,0,0,37,1,1,13,3,0,41,0,31,28,1,9,16,0,105,65,19,3,4,1,0,1,1,1,0,200,0,0,0,35,6,0,360,28,5,4,33
1973,52,0,47,1054,190,12,37,0,16,17,168,0,464,50,15,0,1,41,1,1,15,2,0,20,0,31,23,1,9,38,1,108,62,20,3,5,1,0,1,1,1,0,194,0,0,0,34,6,0,381,28,5,5,33
1974,51,0,49,1061,190,12,40,0,15,16,167,0,465,40,13,0,0,34,1,1,13,2,0,2,0,23,17,1,24,32,0,116,70,18,2,5,1,0,1,1,1,0,192,0,0,0,32,6,0,378,25,5,4,33
1975,55,0,51,1062,193,11,42,0,14,18,161,0,455,54,14,0,0,32,1,1,13,2,2,9,0,20,12,1,30,46,0,108,56,20,2,4,1,0,1,1,1,0,188,0,0,0,35,6,0,367,24,5,4,33
1976,62,0,50,1054,195,10,24,0,15,17,161,0,485,45,12,0,1,38,1,1,13,3,3,44,0,20,8,1,34,36,0,113,50,21,2,6,1,0,1,1,2,0,170,0,0,0,34,6,0,382,29,5,5,34
