"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,1,0,19,213,3,0,0,0,0,160,0,0,892,3,0,0,46,18,0,0,2,0,0,1,9,0,2,4,0,0,2,2,19,12,15,0,40,0,0,0,4,0,19,0,0,0,0,0,1,225,1,4,2,"23,"
1962,1,0,19,213,3,0,0,0,0,227,0,0,815,3,0,0,46,18,0,0,2,0,0,0,7,1,5,4,0,0,3,14,19,10,15,0,38,0,0,0,4,0,18,0,0,0,0,0,1,221,1,4,2,"24,"
1963,2,0,18,201,3,0,0,0,0,218,0,0,867,3,0,0,49,16,0,0,2,0,0,0,11,1,13,4,0,0,3,17,18,6,15,0,37,0,0,0,4,0,22,0,0,0,0,0,1,226,0,5,3,"25,"
1964,2,0,26,201,3,0,0,0,0,225,0,0,890,3,0,0,41,17,0,0,2,0,0,0,9,1,21,4,0,0,3,35,19,9,15,0,41,0,0,0,4,0,21,0,0,0,0,0,1,236,0,4,2,"26,"
1965,2,0,28,200,5,0,0,0,0,253,0,0,863,4,0,0,41,16,0,0,2,0,0,0,15,1,32,4,0,0,3,23,17,9,15,0,40,0,0,0,3,0,20,0,0,0,0,0,1,243,0,4,2,"26,"
1966,2,0,25,195,5,0,0,0,0,266,0,0,1004,4,0,0,39,17,0,0,3,0,0,1,11,1,22,3,0,0,3,26,17,6,15,0,39,0,0,0,3,0,13,0,0,0,0,0,1,263,0,6,2,"27,"
1967,2,0,25,201,4,0,0,0,0,219,0,0,1057,4,0,0,38,17,0,1,4,0,0,0,7,1,44,3,0,0,3,10,19,9,14,0,39,0,0,0,4,0,24,0,0,0,0,0,1,249,1,6,2,"28,"
1968,3,0,23,205,5,0,1,0,0,223,0,0,1143,4,0,0,37,17,0,1,5,0,0,1,9,1,71,3,0,0,4,24,14,13,14,0,39,0,0,0,4,0,21,0,0,0,0,0,1,242,1,7,3,"28,"
1969,3,0,28,210,5,0,0,0,0,218,0,0,1057,4,0,0,35,17,0,1,5,0,0,0,13,1,11,3,0,0,4,25,35,9,14,0,39,0,0,0,4,0,21,0,0,0,0,0,1,234,1,9,3,"29,"
1970,3,0,29,217,5,0,0,0,0,222,0,0,1079,4,0,0,35,17,0,1,6,0,0,0,8,1,2,5,0,0,2,74,27,9,15,0,37,0,0,0,4,0,20,0,0,0,0,0,1,236,0,8,3,"29,"
