"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,10,0,229,459,20,0,68,0,0,50,14,0,1183,31,3,1,0,61,0,1,12,0,1,7,0,19,11,224,2,13,5,21,7,28,19,1,25,0,0,0,0,0,100,0,1,0,3,3,0,240,3,7,16,"56,"
1962,11,0,231,485,21,0,67,0,0,51,6,0,1182,28,4,0,0,60,0,1,12,0,1,6,0,20,11,242,11,21,5,27,18,28,19,2,30,0,0,0,0,0,89,0,1,0,3,3,0,244,3,6,15,"52,"
1963,12,0,227,510,21,0,47,0,0,50,4,0,1182,38,5,1,0,67,0,1,13,0,1,6,0,31,14,247,15,16,8,27,15,31,24,2,29,0,0,0,0,0,95,0,1,0,3,3,0,254,3,7,18,"57,"
1964,13,0,217,516,21,0,47,0,0,50,4,0,1182,37,3,1,0,71,0,1,16,0,1,6,0,29,11,250,0,11,6,28,9,31,27,2,27,0,0,0,0,0,85,0,1,0,3,3,0,267,3,7,18,"64,"
1965,11,0,232,535,25,0,49,0,0,48,5,0,1197,33,8,0,0,67,0,1,17,0,0,6,0,33,14,243,0,19,7,35,16,28,25,2,29,0,0,0,0,0,78,0,1,0,3,3,0,262,3,8,19,"64,"
1966,12,0,232,539,22,0,43,0,0,47,3,0,1195,34,8,0,0,73,0,2,19,0,1,6,0,34,15,232,0,21,9,41,24,30,25,2,28,0,0,0,0,0,82,0,1,0,2,3,0,267,3,7,21,"65,"
1967,13,0,234,567,21,0,43,0,0,42,4,0,1209,29,8,0,0,72,0,2,21,0,0,6,0,32,22,223,0,34,8,53,36,30,26,2,27,0,0,0,0,0,82,0,1,0,3,3,0,274,3,8,21,"65,"
1968,13,0,243,577,21,0,40,0,0,47,3,0,1220,30,10,0,0,72,0,3,23,0,0,7,0,34,16,226,0,44,10,49,46,32,23,3,26,0,0,0,0,0,86,0,1,0,2,4,0,275,4,8,19,"66,"
1969,14,0,242,592,22,0,39,0,0,38,3,0,1221,31,10,0,0,72,0,2,25,0,0,7,0,31,14,239,0,54,9,51,41,29,23,3,26,0,0,0,0,0,89,0,1,0,2,4,0,289,4,8,25,"68,"
1970,15,0,238,649,22,0,40,0,0,38,2,0,1247,32,8,0,0,73,0,3,24,0,0,5,0,29,13,261,0,56,11,78,35,33,21,7,20,0,0,0,0,0,80,0,1,0,2,4,0,294,4,8,24,"70,"
1971,15,0,233,667,24,0,38,0,0,33,2,0,1246,26,8,0,0,73,1,3,25,0,1,7,0,26,11,275,20,60,11,62,23,26,21,6,18,0,0,0,0,0,76,0,1,0,2,4,0,294,5,7,20,"67,"
1972,15,0,233,679,24,0,40,0,0,41,2,0,1229,24,10,0,1,66,1,2,25,0,1,8,0,29,11,302,27,60,9,63,13,29,22,6,19,0,0,0,0,0,73,0,1,0,3,4,0,316,5,7,17,"64,"
1973,18,0,234,714,27,0,40,0,0,45,2,0,1270,30,10,0,0,59,1,4,23,0,1,8,0,32,13,303,0,43,8,79,7,29,21,3,18,0,1,0,0,0,71,0,1,0,4,5,0,335,6,7,21,"64,"
1974,17,0,231,700,29,0,48,0,0,43,2,0,1193,27,9,0,0,55,0,4,27,0,1,6,0,31,13,303,0,25,6,97,14,28,20,3,13,0,0,0,0,0,70,0,1,0,4,5,0,343,7,7,19,"71,"
1975,15,0,219,689,26,0,49,0,0,45,2,0,1202,24,9,0,0,52,0,4,27,0,1,9,0,27,8,284,0,22,5,133,6,26,20,3,13,0,0,0,0,0,69,0,1,0,3,5,0,279,7,6,22,"70,"
1976,15,0,216,716,26,0,52,0,0,47,2,0,1173,28,8,0,0,53,0,3,30,0,2,8,0,25,11,272,0,21,2,122,9,26,20,2,14,0,1,0,0,0,65,0,1,0,4,5,0,309,7,6,18,"68,"
1977,16,0,197,735,26,0,55,0,0,48,2,0,1177,20,9,0,0,50,0,4,25,0,1,12,0,18,9,251,0,12,3,98,10,27,20,2,12,0,0,0,1,0,76,0,1,0,3,4,0,301,7,8,18,"66,"
1978,15,0,191,778,29,0,56,0,0,49,2,0,1211,23,9,0,0,54,0,4,26,1,0,14,0,23,12,258,0,12,2,161,22,28,18,2,13,0,0,0,0,0,70,0,1,0,3,4,0,309,7,7,21,"65,"
1979,16,0,189,811,25,0,78,0,0,50,1,0,1255,24,10,0,0,52,1,4,22,1,1,6,0,22,12,248,0,21,2,165,25,26,19,4,14,0,0,0,0,0,74,0,1,0,3,5,0,322,7,7,24,"65,"
1980,15,0,191,839,27,0,69,0,0,47,1,0,1220,24,8,0,0,53,1,4,26,1,1,6,0,23,6,258,0,21,1,129,43,30,16,4,17,0,0,0,0,0,73,0,1,0,4,5,0,330,7,7,26,"67,"
1981,11,0,182,831,25,0,71,0,0,47,1,0,1164,24,7,0,0,53,1,4,25,1,0,2,0,21,8,263,4,22,1,123,42,31,18,2,12,0,0,0,0,0,68,0,1,0,3,5,0,328,8,7,21,"72,"
1982,11,0,178,842,29,0,69,0,0,48,1,0,1058,28,9,0,0,55,1,4,26,1,0,9,0,23,7,257,0,19,1,124,36,29,16,3,14,0,0,0,0,0,73,0,1,0,4,5,0,302,5,7,22,"74,"
1983,11,0,182,862,29,0,63,0,0,51,1,0,1014,27,9,0,0,54,1,3,26,1,1,2,0,27,8,261,7,18,1,124,39,27,17,3,13,0,0,0,0,0,67,0,1,0,4,5,0,293,4,8,31,"62,"
1984,11,0,172,869,27,0,58,0,0,47,1,0,1081,27,9,0,0,55,1,4,27,1,1,8,0,21,13,267,0,16,1,122,40,24,15,3,15,0,0,0,0,0,69,0,0,0,4,5,0,283,4,8,31,"63,"
1985,11,0,160,892,30,0,67,0,0,47,0,0,1050,26,10,0,1,51,1,4,28,1,1,8,0,20,15,284,5,27,1,108,52,27,16,5,12,0,0,0,0,0,68,0,0,0,7,6,0,264,5,7,31,"62,"
1986,10,0,152,891,32,0,61,0,0,44,0,0,1081,27,9,0,0,52,1,4,27,1,1,10,0,22,10,289,32,41,1,113,44,30,17,6,16,0,0,0,0,0,75,0,1,0,6,5,0,269,5,8,29,"65,"
1987,10,0,149,906,34,0,61,0,0,44,0,0,1062,27,10,0,1,53,1,4,25,2,2,2,1,26,8,297,36,48,1,117,49,33,14,8,18,0,0,0,0,0,75,0,1,0,5,6,0,269,5,7,28,"67,"
