"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,5,43,0,246,4,0,971,73,3,12,0,89,56,0,85,0,1,12,0,0,0,3,0,29,16,0,1,0,4,0,0,0,0,1,52,0,193,0,0,2,2,140,35,1,40,0,0,0,0,135,0,0,2,"16,"
1962,5,43,0,239,4,0,954,69,2,12,0,95,76,0,82,0,1,12,0,0,0,2,0,36,15,0,1,0,4,0,0,0,0,1,51,0,193,0,0,2,1,139,34,1,42,0,0,0,0,139,0,0,2,"16,"
1963,5,42,0,217,5,0,934,58,1,13,0,95,66,0,80,0,1,12,0,0,0,1,0,27,20,0,1,0,6,0,0,0,1,2,49,0,166,0,0,2,1,138,31,1,43,0,0,0,0,130,0,1,2,"16,"
1964,5,42,0,226,5,0,957,65,1,9,0,95,51,0,77,0,1,11,0,0,1,2,0,27,24,2,1,0,3,0,0,0,1,2,47,0,175,0,0,2,1,137,30,1,45,0,0,0,0,132,0,0,2,"16,"
1965,4,39,0,233,5,0,1041,75,1,12,0,77,87,0,75,0,0,11,0,0,1,2,0,28,26,2,1,0,8,0,0,0,1,1,46,0,182,0,0,2,1,136,28,2,46,0,0,0,0,137,0,0,2,"16,"
1966,7,46,0,228,5,2,1021,70,1,12,0,107,83,0,72,0,1,11,0,0,1,1,0,20,21,3,1,0,6,0,0,3,1,1,44,0,177,0,0,2,1,134,28,2,49,0,1,0,0,140,1,0,2,"15,"
1967,7,46,0,219,5,0,1032,72,1,7,0,108,73,0,71,0,1,11,0,0,1,1,0,18,17,1,1,0,10,0,4,1,1,1,43,0,184,0,0,2,0,132,27,2,48,0,1,0,0,142,0,0,2,"15,"
1968,8,41,0,223,7,0,1053,63,3,12,0,96,71,0,68,0,0,11,0,0,1,1,0,16,17,1,1,0,17,0,3,2,1,1,42,0,172,0,0,2,1,131,28,2,48,0,0,0,0,144,0,0,2,"14,"
1969,11,36,0,220,7,0,1086,54,2,10,0,86,79,0,66,0,0,10,0,0,1,1,0,14,20,2,1,0,15,0,3,9,3,1,51,0,178,0,0,2,1,129,28,2,49,0,1,0,0,148,1,0,2,"14,"
1970,12,39,0,222,8,0,1026,61,2,16,0,89,80,0,64,0,0,10,0,0,1,1,0,16,22,1,1,0,11,0,3,3,0,1,56,0,176,0,0,2,1,127,30,2,49,0,1,0,1,159,0,0,2,"14,"
1971,12,37,0,236,10,0,953,57,1,24,0,86,98,0,61,0,0,10,0,0,1,1,0,19,14,1,1,0,25,0,3,1,0,1,61,0,178,0,0,2,1,125,27,2,50,0,1,0,0,178,2,0,2,"14,"
1972,10,37,0,225,10,0,1035,55,2,18,0,87,91,0,59,0,0,10,0,0,1,2,0,22,7,3,1,0,29,0,4,2,2,1,60,0,171,0,0,2,1,123,28,2,50,0,1,0,1,182,1,0,2,"14,"
1973,12,36,0,208,13,0,1006,54,3,14,0,84,104,0,58,0,0,10,0,0,1,2,0,22,4,3,1,0,25,0,4,3,2,1,61,0,163,0,0,2,1,121,31,1,50,0,0,0,0,195,0,0,2,"14,"
1974,14,33,0,212,15,0,1051,49,3,15,0,77,98,0,55,0,0,9,0,0,1,3,1,21,4,4,2,0,17,0,5,0,3,1,61,0,151,0,0,2,1,118,32,1,50,0,0,0,0,196,1,0,2,"13,"
1975,14,31,0,228,14,0,1057,47,3,14,0,74,82,0,50,0,0,9,0,0,1,3,0,16,1,5,1,0,16,0,6,1,1,2,60,0,164,0,0,2,1,116,38,1,50,0,0,0,0,167,0,0,2,"13,"
1976,14,31,0,210,15,0,1143,45,3,25,0,73,96,0,46,0,0,9,0,0,1,3,0,20,1,6,1,0,46,0,5,1,2,3,62,0,150,0,0,2,1,121,37,1,41,0,0,0,0,132,0,0,2,"14,"
1977,14,29,0,230,17,0,1114,44,3,17,0,69,108,0,48,0,0,9,0,0,1,3,0,21,2,5,1,0,54,0,4,1,4,3,62,0,134,0,0,2,1,117,36,1,43,0,0,0,1,163,0,0,2,"13,"
1978,14,28,0,233,17,0,1080,42,2,16,0,67,121,0,46,0,1,9,0,0,1,5,0,20,3,4,1,0,63,0,5,1,4,5,62,0,130,0,0,2,1,115,37,1,53,0,0,0,1,172,0,0,2,"14,"
1979,14,23,0,244,17,0,1048,35,1,15,0,54,99,0,91,0,0,10,0,0,1,6,0,16,2,4,2,0,56,0,4,1,4,2,64,0,95,0,0,2,1,112,38,1,52,0,0,0,0,190,0,1,2,"14,"
1980,14,22,0,228,17,0,1005,27,1,23,0,57,152,0,87,0,0,10,0,0,1,8,0,11,4,4,1,0,89,0,4,0,4,1,63,0,61,0,0,2,1,109,15,1,52,0,0,0,1,209,0,1,2,"14,"
1981,14,11,0,205,18,2,1010,15,1,20,0,25,129,0,84,0,0,10,0,0,1,8,0,10,2,3,1,0,107,0,4,4,4,1,65,0,85,0,0,2,1,83,29,1,52,0,0,0,1,245,0,1,2,"14,"
1982,12,6,0,220,17,2,1004,8,1,38,0,14,152,0,81,0,0,10,0,0,1,7,0,12,2,1,3,0,103,0,3,2,3,1,65,0,65,0,0,2,1,62,43,1,73,0,0,0,1,225,0,2,2,"14,"
1983,12,4,0,233,14,1,959,8,1,38,0,7,150,0,79,0,0,10,0,0,1,4,0,7,2,1,2,0,98,0,3,3,1,1,63,0,88,0,0,2,1,129,34,1,35,0,0,0,1,203,0,1,0,"14,"
1984,10,7,0,235,14,0,895,2,1,16,0,23,119,0,76,0,0,10,0,0,1,4,0,4,1,3,3,0,98,0,4,2,1,1,54,0,105,0,0,2,1,35,13,1,36,0,0,0,1,244,0,1,1,"13,"
1985,10,11,0,234,16,1,915,15,1,12,0,28,159,0,72,0,0,10,0,0,1,4,0,6,3,4,2,0,94,0,4,1,1,2,57,0,68,0,0,2,1,92,37,1,60,0,0,0,1,255,0,1,1,"13,"
1986,10,10,0,254,17,0,888,9,0,42,0,27,152,0,70,0,0,10,0,0,1,8,0,7,2,4,2,0,96,0,4,6,1,2,58,0,91,0,0,2,1,64,40,1,60,0,0,0,2,272,0,1,1,"14,"
1987,9,10,0,272,18,0,892,15,0,30,0,24,145,0,67,0,0,11,0,0,1,6,0,5,2,4,3,0,90,1,5,1,2,1,56,0,60,0,0,2,1,74,13,1,60,0,0,0,1,232,0,1,2,"13,"
1988,9,12,0,288,17,0,843,16,1,14,0,30,125,0,62,0,0,11,0,0,1,4,0,5,2,4,1,0,92,1,5,1,3,2,65,0,63,0,0,2,1,85,10,2,60,0,0,0,1,216,0,1,2,"14,"
1989,10,10,0,285,16,0,835,15,0,6,0,22,100,0,63,0,0,11,0,0,1,4,0,6,4,4,2,0,105,2,4,1,3,2,49,0,99,0,0,2,1,70,57,1,28,1,0,0,1,234,0,1,2,"14,"
1990,10,8,0,277,17,0,781,13,0,13,0,19,136,0,64,0,0,10,0,0,1,4,0,6,2,2,2,0,129,0,3,3,4,2,30,0,88,0,0,2,1,70,52,2,25,1,0,0,1,208,0,1,3,"14,"
1991,9,7,0,257,15,0,774,4,0,8,0,20,118,0,66,0,0,10,0,0,1,4,0,6,2,6,1,0,148,0,3,3,3,2,34,0,72,0,0,2,1,59,67,2,40,1,0,0,1,198,0,1,3,"19,"
1992,8,7,0,244,16,0,798,9,0,8,0,18,130,0,71,3,0,12,0,0,1,11,0,6,1,4,1,0,142,0,1,4,2,1,41,0,65,0,0,2,0,60,41,2,24,1,0,0,1,187,0,2,4,"29,"
1993,7,4,0,234,14,1,749,11,0,19,0,3,134,0,56,4,0,14,0,0,1,20,0,7,1,3,2,0,133,0,2,5,6,1,56,0,73,0,0,2,1,57,39,1,29,1,0,0,1,171,0,2,3,"25,"
