year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,6,163,252,0,4,0,0,51,0,0,618,4,0,0,77,6,0,1,9,0,0,0,0,19,5,125,0,0,0,0,0,11,0,2,11,0,0,1,0,0,20,0,0,0,0,0,3,221,0,4,13,10
1962,1,0,6,165,261,0,3,0,0,56,0,0,649,3,1,0,77,7,0,1,9,0,0,2,0,37,6,96,0,0,0,0,0,10,0,2,18,0,0,0,0,0,15,0,0,0,1,0,2,177,4,5,15,10
1963,1,0,5,170,269,1,3,0,0,56,0,0,714,3,2,0,74,7,0,1,8,0,1,4,2,40,17,104,0,0,0,2,0,9,0,4,19,0,0,0,0,0,14,0,0,0,2,0,3,154,4,4,14,9
1964,1,0,5,176,253,1,3,0,0,61,0,0,727,4,2,0,80,6,0,0,4,0,1,1,0,33,4,137,0,0,0,2,0,8,0,2,19,1,0,1,5,0,14,0,0,0,2,0,3,161,3,6,17,8
1965,1,0,4,217,219,0,4,0,1,59,0,0,768,5,2,0,94,11,0,0,4,0,1,7,0,31,3,185,0,0,0,4,0,14,0,3,22,1,0,0,7,0,13,0,0,0,3,0,3,152,3,9,18,9
1966,2,0,5,249,174,2,1,0,0,70,0,0,823,8,2,0,103,14,0,0,4,0,2,7,0,41,6,207,0,0,0,4,0,16,2,4,24,0,0,0,5,0,13,0,0,0,3,1,3,184,4,10,21,9
1967,2,0,5,277,148,3,1,0,0,67,0,0,859,8,5,0,119,12,0,0,5,0,2,6,0,42,7,207,0,0,0,5,0,12,2,4,23,1,0,1,6,0,10,0,0,0,4,1,4,219,5,10,23,10
1968,2,0,6,302,111,2,1,0,0,72,0,0,878,11,11,0,115,14,0,0,8,0,2,10,0,41,7,214,0,0,0,5,0,12,2,4,23,1,0,1,7,0,11,0,0,0,5,1,5,277,4,10,25,10
1969,2,0,5,327,108,2,2,0,0,80,0,0,901,7,10,0,115,14,0,0,8,0,3,9,0,44,7,201,0,0,0,4,0,13,2,3,25,0,0,1,6,0,11,0,0,0,6,1,5,286,5,14,26,9
1970,0,0,7,349,123,1,1,0,0,90,0,0,911,8,11,0,112,19,0,0,6,0,2,5,0,48,6,214,0,0,0,4,0,18,3,3,26,0,0,0,7,0,7,0,0,0,6,1,5,303,5,14,27,10
1971,0,0,7,346,128,1,2,0,0,106,0,0,915,10,13,0,107,21,0,0,8,0,3,8,0,48,2,205,0,0,0,4,0,16,4,2,29,1,0,0,8,0,13,0,0,0,8,1,6,328,4,11,26,22
1972,0,0,8,378,128,2,1,0,0,103,0,0,843,12,16,0,100,22,0,0,8,0,7,30,0,48,5,210,0,0,0,4,0,19,5,4,37,0,0,0,5,0,30,0,0,0,9,1,5,369,5,16,35,31
1973,0,0,8,400,126,1,2,0,0,101,0,0,1060,12,15,0,98,24,0,0,6,0,8,19,0,47,27,205,0,0,0,4,56,18,5,5,43,0,0,0,6,0,28,0,0,0,11,1,5,394,5,20,40,41
1974,0,0,13,422,114,1,1,0,0,100,0,0,1244,13,14,0,100,26,0,0,9,0,8,16,0,47,5,199,0,0,0,4,16,18,4,5,43,0,0,0,8,0,35,0,0,0,8,1,6,403,5,20,42,42
1975,0,0,9,441,106,1,5,0,0,122,0,0,1278,12,14,0,101,26,0,0,8,0,8,8,0,46,5,195,0,0,0,4,18,19,5,5,41,0,0,0,4,0,45,0,0,0,10,1,5,415,4,24,43,46
1976,0,0,10,443,100,1,7,0,0,142,0,0,1309,6,14,0,107,26,0,0,10,0,8,11,0,44,8,194,0,0,0,4,78,21,6,4,42,1,0,0,8,0,51,0,0,0,11,1,5,409,6,24,47,44
1977,0,0,11,488,95,2,5,0,0,139,0,0,1317,3,12,0,109,31,0,1,10,0,7,4,0,43,11,202,0,0,0,4,45,18,6,5,41,1,0,0,6,0,53,0,0,0,11,1,3,399,8,24,49,41
1978,0,0,10,520,89,1,8,0,0,140,0,0,1296,4,11,0,110,28,0,0,10,0,7,7,0,41,18,213,0,0,0,6,66,20,6,4,43,0,0,0,9,0,52,0,0,0,11,2,3,410,4,22,55,40
1979,0,0,11,549,97,0,13,0,0,137,0,0,1277,7,11,0,105,25,0,1,11,0,6,3,0,44,24,223,0,0,0,5,21,19,6,4,43,0,0,0,9,0,56,0,0,0,12,1,4,428,9,22,59,40
1980,0,0,9,600,96,0,7,0,0,133,0,0,1272,6,12,0,102,24,0,1,13,0,5,7,0,39,27,220,0,0,0,5,51,18,6,4,45,0,0,0,2,0,61,0,0,0,9,1,4,352,5,23,59,45
1981,0,0,16,621,86,0,26,0,0,130,0,0,1263,5,8,0,99,25,0,1,16,0,5,10,0,36,17,216,0,0,0,5,53,26,6,5,47,1,0,0,3,0,57,0,0,0,9,2,3,366,6,25,52,47
1982,0,0,8,604,74,1,29,0,0,129,0,0,1246,4,6,0,95,30,0,0,16,0,5,9,0,37,17,230,0,0,0,9,54,29,7,6,47,0,0,0,3,0,55,0,0,0,9,1,3,385,1,23,50,50
1983,0,0,10,600,67,1,33,0,0,123,0,0,1232,3,4,0,92,30,0,0,17,0,4,7,0,36,15,238,0,0,0,7,55,27,6,6,48,0,0,0,3,0,55,0,0,0,9,0,3,429,1,24,49,48
1984,0,0,9,570,67,1,35,0,0,123,0,0,1202,4,4,0,88,27,0,0,15,0,5,0,0,34,6,242,0,0,0,7,61,27,5,7,46,0,0,0,3,0,56,0,0,0,9,1,3,418,1,24,48,51
1985,0,0,9,519,69,2,36,0,0,124,0,0,1206,4,5,0,87,24,0,0,14,0,5,4,0,33,5,233,0,0,0,8,63,26,4,6,42,0,0,0,4,0,56,0,0,0,11,1,2,436,1,24,43,52
