year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,1,703,2,4,27,272,0,95,0,588,101,0,0,0,65,3,0,0,0,0,0,0,0,34,22,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,4,0,5,5,0,0,1,198,0,0,0,2
1962,0,0,1,705,2,2,27,266,0,95,0,586,98,0,0,0,59,3,0,0,0,0,0,0,0,33,22,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,4,0,5,5,0,0,1,195,1,0,0,2
1963,0,0,0,697,2,1,29,260,0,95,0,577,95,0,0,0,59,3,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,4,0,5,5,0,0,1,194,1,0,0,2
1964,0,0,0,691,2,1,31,292,0,95,0,561,93,0,0,0,62,3,0,0,0,0,0,0,0,31,22,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,4,0,5,5,0,0,1,193,0,0,0,2
1965,0,0,0,691,2,4,28,211,0,92,0,591,90,0,0,0,66,3,0,0,0,0,0,0,0,31,23,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,4,0,5,5,0,0,1,225,1,0,0,2
1966,0,0,0,684,1,3,29,277,0,94,0,596,49,0,0,0,56,2,0,0,0,0,0,0,0,30,22,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,4,0,5,5,0,0,1,225,1,0,0,2
1967,0,0,0,686,1,3,41,269,0,91,0,579,48,0,0,0,55,3,0,0,0,0,0,0,0,30,22,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,4,0,5,5,0,0,1,230,0,0,0,2
1968,0,0,0,704,1,8,27,263,0,102,0,549,56,0,0,0,53,2,0,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,4,0,4,5,0,0,2,205,0,0,0,2
1969,0,0,0,690,1,12,27,265,0,126,0,533,81,0,0,0,46,2,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,4,0,5,5,0,0,1,188,0,0,0,2
1970,0,0,0,664,2,20,25,345,0,122,0,316,92,0,0,0,54,3,0,0,0,0,0,0,0,50,22,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,5,0,4,5,0,0,0,172,2,0,0,2
1971,0,0,0,642,1,19,24,354,0,136,0,298,113,0,0,0,34,3,0,0,0,0,0,0,0,51,21,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,6,0,4,4,0,0,0,151,1,0,0,2
1972,1,0,1,604,1,22,38,339,0,145,0,270,120,0,0,0,33,3,0,0,0,0,0,0,0,57,17,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,7,0,4,4,0,0,1,155,2,0,0,2
1973,1,0,0,541,1,12,40,386,0,151,0,293,226,0,0,0,33,3,0,0,0,0,0,0,0,44,36,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,5,0,1,3,0,0,0,168,1,0,0,2
1974,1,0,0,515,1,31,40,441,0,140,0,249,228,0,0,0,32,3,0,0,0,0,0,0,0,19,55,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,5,0,3,3,0,0,0,179,1,0,0,2
1975,0,0,2,530,10,0,28,447,0,161,0,232,211,0,0,0,31,3,0,0,0,0,0,0,0,60,22,6,2,4,0,9,0,0,0,0,93,0,0,0,0,0,4,0,3,3,0,0,3,129,3,0,1,1
1976,1,0,0,524,2,1,25,425,0,218,0,233,186,0,4,0,28,3,0,0,0,0,0,0,0,63,20,1,8,0,0,1,0,0,0,0,106,0,0,0,0,0,5,0,3,3,0,0,1,152,12,0,1,2
1977,1,0,0,554,3,1,21,392,0,232,0,200,214,0,0,0,30,2,0,0,0,0,1,0,0,56,28,5,9,0,0,0,0,0,0,0,117,0,0,0,0,0,5,0,3,4,0,0,1,183,1,0,0,3
1978,1,0,0,569,2,1,24,233,0,360,0,226,255,0,0,0,30,2,0,0,0,0,1,0,0,61,28,3,14,0,0,0,0,0,0,0,125,0,0,0,0,0,6,0,3,3,0,0,1,190,1,0,0,3
1979,0,0,0,557,3,2,25,308,0,283,0,186,234,0,0,0,37,2,0,0,0,0,1,0,0,40,30,32,12,0,0,1,0,0,0,0,121,0,0,0,0,0,8,0,3,4,0,0,1,186,0,0,0,3
1980,0,0,0,563,1,0,24,270,0,333,0,179,279,0,0,0,36,1,0,0,0,0,1,0,0,49,35,3,26,0,0,32,0,0,0,0,129,0,0,0,0,0,5,0,3,3,0,0,1,175,0,0,0,3
1981,0,0,0,581,4,0,19,94,0,354,0,227,359,0,0,0,31,2,0,0,0,0,0,0,0,32,36,12,23,6,0,76,0,0,0,0,139,0,0,0,0,0,7,0,3,3,0,0,1,184,0,1,0,3
1982,0,0,0,571,8,14,47,106,0,319,0,210,388,0,0,0,27,2,0,0,0,0,1,0,0,12,49,16,21,15,0,70,0,0,0,0,133,0,0,0,0,0,5,0,3,3,0,0,1,193,1,1,0,6
1983,0,0,0,605,5,3,29,79,0,397,0,193,605,1,1,0,29,19,0,0,0,0,0,0,0,14,56,5,19,16,0,71,2,0,0,0,112,0,0,0,0,0,4,0,3,3,0,0,2,213,0,1,7,6
