"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,9,0,1,283,21,0,1073,0,3,35,0,0,210,3,25,0,1,17,0,2,13,2,0,23,52,18,9,1,13,1,42,2,0,2,157,1,12,0,0,3,0,2,11,1,6,0,1,1,0,245,0,1,4,"8,"
1962,10,0,1,283,20,0,1059,0,3,35,0,0,211,3,27,0,1,18,0,2,14,2,0,23,50,16,10,1,14,0,43,2,0,2,135,1,12,0,0,3,0,2,13,2,6,0,1,1,0,258,0,1,3,"9,"
1963,10,0,1,280,20,0,1067,0,3,39,0,0,218,4,35,0,1,18,0,3,13,2,0,25,48,15,9,1,11,1,40,2,0,2,128,1,12,0,0,3,0,2,14,2,7,0,1,2,0,259,0,2,3,"10,"
1964,10,0,1,276,23,0,1053,0,3,34,0,0,228,4,34,0,1,19,0,3,12,2,0,24,51,16,9,2,11,0,44,4,0,2,171,1,12,0,0,3,0,2,14,2,7,0,1,1,0,272,0,2,3,"9,"
1965,11,0,1,271,24,0,1069,0,3,42,0,0,226,4,36,0,1,21,0,3,19,2,0,26,53,14,13,2,11,1,39,3,0,3,158,1,13,0,0,3,0,2,10,2,6,0,1,2,0,277,1,2,4,"10,"
1966,11,0,1,298,25,0,1059,0,3,45,0,0,240,4,36,0,1,22,0,3,20,3,0,29,52,16,19,2,11,1,34,4,0,3,153,1,13,0,0,4,0,2,11,2,7,0,1,2,0,285,1,2,3,"10,"
1967,14,0,1,310,25,0,1084,0,2,46,0,0,244,3,30,0,1,22,0,3,24,2,0,25,50,13,18,1,9,1,34,5,0,3,153,1,13,0,0,3,0,2,12,1,8,0,1,3,0,304,1,3,4,"10,"
1968,14,0,1,305,25,0,1124,0,2,48,0,0,246,3,29,0,1,22,0,3,22,2,0,26,35,14,17,1,10,1,36,11,0,3,150,1,12,0,0,3,0,2,13,1,6,0,1,2,0,324,1,2,4,"10,"
1969,13,0,1,311,27,1,1129,0,3,47,0,0,250,4,23,0,0,20,0,3,21,2,0,25,39,12,26,2,7,1,39,10,0,4,141,1,11,0,0,3,0,2,14,2,7,0,1,2,0,341,2,2,4,"9,"
1970,11,0,1,318,27,0,1095,0,2,48,0,0,262,4,30,0,0,23,0,3,16,3,0,26,38,15,32,2,5,3,37,21,0,4,145,1,11,0,0,3,0,2,15,2,7,0,1,2,0,358,2,2,5,"8,"
