"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,23,0,2,370,20,0,241,0,0,542,0,0,231,1,108,0,0,26,0,0,13,2,2,85,0,0,4,3,0,0,1,3,0,1,44,4,17,0,0,0,0,27,11,13,0,20,3,5,0,243,30,4,7,"6,"
1962,27,0,2,385,20,1,204,0,0,523,0,0,215,1,108,0,0,25,0,0,13,2,3,90,2,0,4,3,0,0,1,5,0,1,55,3,17,0,0,0,0,27,11,14,0,19,4,3,0,205,27,4,6,"5,"
1963,17,0,2,386,22,1,227,0,0,546,0,0,232,1,109,0,0,26,0,0,13,3,2,98,2,4,7,2,0,0,1,5,0,1,58,3,16,0,0,0,0,26,12,14,0,19,4,4,0,250,36,4,7,"6,"
1964,19,0,2,371,21,1,227,0,0,572,0,0,226,2,109,0,0,27,0,0,14,3,3,100,3,1,4,2,3,0,1,7,0,1,46,4,19,0,0,0,0,26,12,14,0,18,3,3,0,249,34,4,7,"6,"
1965,23,0,3,378,22,0,206,0,0,528,0,0,212,2,110,0,0,26,0,0,14,3,3,93,2,1,3,1,0,0,1,15,0,1,33,3,16,0,0,0,0,27,13,14,0,19,3,4,0,295,33,4,7,"6,"
1966,23,0,3,398,23,0,208,0,0,586,0,0,243,1,109,0,0,27,0,0,14,2,2,82,3,1,1,2,0,0,1,29,0,1,53,2,18,0,0,0,0,27,12,14,0,20,4,4,0,228,31,4,6,"6,"
1967,25,0,3,399,23,0,212,0,0,634,0,0,206,2,118,0,0,28,0,0,14,3,3,89,3,1,0,2,0,0,1,35,0,1,53,2,19,0,0,0,0,28,9,14,0,21,5,4,0,245,25,3,8,"6,"
1968,26,0,2,398,21,0,199,0,0,553,0,0,262,2,129,0,0,30,0,0,14,3,3,105,2,1,0,3,0,0,1,39,0,1,48,3,20,0,0,0,0,29,11,14,0,23,5,3,0,269,22,5,10,"7,"
1969,30,0,3,421,24,0,204,0,0,675,0,0,233,2,140,0,0,25,0,0,14,4,3,98,1,1,0,3,0,0,1,46,0,1,41,2,18,0,0,0,0,29,12,13,0,21,4,3,0,260,17,5,10,"6,"
1970,31,0,3,404,24,0,159,0,0,630,0,0,217,2,134,0,0,20,0,0,18,2,3,33,1,1,0,3,0,0,1,74,0,1,42,3,20,0,0,0,0,41,8,13,0,17,5,2,0,265,19,5,6,"5,"
