year,alcoholic_beverages_beverages_alcoholic,alcoholic_beverages_beverages_fermented,alcoholic_beverages_grapes,animal_products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots_other,starchy_roots_sweet_potatoes,starchy_roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,73,0,3,269,115,22,0,0,10,208,1,0,406,9,70,0,0,25,0,4,12,1,0,3,82,2,1,8,1,0,0,15,8,1,34,21,27,0,0,0,0,127,216,14,36,0,1,1,0,274,2,6,2,26
1962,68,0,6,270,104,23,0,0,10,231,1,0,384,9,91,0,0,25,0,4,12,1,0,3,85,2,1,9,0,0,0,16,0,1,35,20,35,0,0,0,0,127,207,15,35,0,1,1,0,280,2,7,1,27
1963,57,0,5,249,106,24,0,0,11,155,1,0,339,9,89,0,0,25,0,4,12,1,0,4,83,2,1,8,0,0,0,16,0,1,30,22,36,0,0,0,1,131,187,14,37,0,1,1,0,290,2,8,1,27
1964,59,0,5,284,103,17,0,0,10,236,1,0,338,9,77,0,0,26,0,4,13,1,0,3,82,2,2,7,0,0,0,14,0,1,30,22,37,0,0,0,0,158,251,10,38,0,1,1,0,286,2,11,2,26
1965,69,0,5,257,94,17,0,0,12,235,1,0,307,9,100,0,0,25,0,4,13,1,1,9,74,4,3,5,0,0,0,14,13,1,32,15,23,0,0,0,0,139,254,16,27,0,1,1,0,312,0,9,2,24
1966,69,0,5,290,71,10,0,0,10,204,1,0,311,10,135,0,0,29,0,4,14,1,1,12,46,3,1,4,0,0,0,9,71,1,44,16,21,0,0,0,0,146,222,14,29,0,1,1,0,295,0,10,3,30
1967,54,0,5,270,92,11,0,0,10,185,1,0,304,10,133,0,0,29,0,4,15,2,1,11,42,3,0,5,0,0,0,8,39,0,51,14,25,0,0,0,0,147,268,16,31,0,1,1,0,290,0,11,3,32
1968,61,0,3,254,67,4,0,0,8,190,1,0,377,7,125,0,0,31,0,4,16,3,1,12,44,4,2,4,0,0,0,10,91,0,32,13,24,0,0,0,0,113,210,12,30,0,1,1,0,283,0,10,2,24
1969,57,0,5,256,75,5,0,0,10,325,0,0,408,6,131,0,0,34,0,5,18,5,1,9,54,3,2,3,1,0,0,14,49,0,40,15,24,0,0,0,0,124,259,15,31,0,1,1,0,285,0,10,2,26
1970,58,0,4,256,79,5,0,0,12,276,0,0,304,8,125,1,0,40,0,4,18,4,1,10,52,2,1,4,0,0,0,20,14,1,38,14,28,0,0,0,0,133,277,19,34,0,1,1,0,310,0,12,2,30
