"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,81,0,2,260,2,0,6,0,0,30,0,0,468,0,131,0,0,140,1,1,2,0,0,89,0,0,46,0,0,0,0,0,0,0,0,0,14,0,0,0,5,16,4,35,17,51,3,1,0,279,0,2,0,"5,"
1962,87,0,2,263,2,0,7,0,0,70,0,0,426,0,130,0,0,141,1,1,3,0,0,131,0,0,46,0,0,0,0,0,0,0,0,0,15,0,0,0,5,16,4,33,17,68,3,1,0,267,0,3,0,"6,"
1963,84,0,2,261,2,0,8,0,0,49,0,0,410,0,123,0,0,136,1,1,3,0,0,129,0,0,49,0,0,0,0,0,0,0,0,0,15,0,0,0,5,16,4,36,17,39,2,1,0,280,0,3,0,"6,"
1964,91,0,2,271,4,0,10,0,0,83,0,0,446,0,122,0,0,138,1,1,3,0,0,128,0,0,52,0,0,0,0,0,0,0,0,0,20,0,0,0,5,16,5,38,17,27,2,1,0,290,0,3,0,"6,"
1965,87,0,2,281,4,0,6,0,0,51,0,0,403,0,117,0,0,137,1,1,3,0,0,133,0,0,57,0,0,0,0,0,0,0,0,0,19,0,0,0,5,16,4,36,17,43,3,1,0,293,0,3,0,"6,"
1966,74,0,2,304,6,0,7,0,0,61,0,0,437,0,114,0,0,139,1,1,4,0,0,138,0,0,60,0,0,0,0,0,0,0,0,0,18,0,0,0,5,16,6,37,17,46,3,1,0,301,0,3,0,"6,"
1967,69,0,2,303,4,0,11,0,0,54,0,0,415,0,121,0,0,137,1,1,4,0,0,147,0,0,58,0,0,0,0,0,0,0,0,0,19,0,0,0,5,16,5,37,17,54,3,1,0,273,0,3,0,"6,"
1968,73,0,3,324,5,0,9,0,0,78,0,0,426,0,118,0,0,138,1,1,4,0,0,153,0,0,63,0,0,0,0,0,0,0,0,0,21,0,0,0,5,16,6,37,17,63,3,1,0,245,0,3,0,"6,"
1969,73,0,4,341,8,0,7,0,0,65,0,0,440,0,114,0,0,138,1,1,4,0,0,150,0,0,64,0,0,0,0,0,0,0,0,0,25,0,0,0,5,17,7,38,18,66,3,1,0,237,0,4,0,"6,"
1970,79,0,3,387,10,0,7,0,0,67,0,0,453,0,116,0,0,137,1,1,5,0,0,145,0,0,69,0,0,0,0,0,0,0,0,0,23,0,0,0,5,17,8,39,18,73,3,1,0,228,1,3,0,"6,"
1971,89,0,4,391,13,0,13,0,0,66,0,0,508,1,118,0,0,132,1,1,6,0,0,148,0,0,95,0,0,0,0,0,0,0,0,0,22,0,0,0,5,17,10,37,18,75,4,1,0,243,1,4,0,"6,"
1972,82,0,5,395,10,0,8,0,0,48,0,0,501,1,115,0,0,125,1,1,5,0,0,154,0,0,82,0,0,0,0,0,0,0,0,0,21,0,0,0,5,18,6,34,19,77,3,1,0,232,1,4,0,"6,"
