year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1,0,7,181,4,12,111,551,0,489,0,162,124,1,2,0,4,6,0,0,1,0,1,7,0,246,8,0,29,0,0,0,0,46,0,0,32,0,0,8,0,119,7,0,11,0,0,0,1,199,3,4,6,7
1962,1,0,6,183,4,10,112,558,0,488,0,184,77,1,2,0,3,6,0,0,2,0,1,6,0,258,8,0,29,0,0,0,0,60,0,0,35,0,0,8,0,125,7,0,11,0,0,0,1,206,3,4,6,6
1963,1,0,7,192,4,10,132,614,0,476,0,217,103,2,2,0,3,6,0,0,2,0,1,8,0,428,8,0,29,0,0,0,0,91,0,0,36,0,0,8,0,119,9,0,10,0,0,0,0,203,3,4,6,6
1964,1,0,5,198,4,5,95,589,0,692,0,226,83,1,2,0,2,6,0,0,2,0,1,4,0,216,7,0,29,0,0,0,0,66,0,0,43,0,0,8,0,117,8,0,5,0,0,0,1,212,3,4,6,6
1965,1,0,4,201,4,5,113,586,0,705,0,197,74,1,2,0,3,6,0,0,1,0,1,2,0,228,8,0,32,0,0,0,0,55,0,0,31,0,0,8,2,110,8,0,4,0,0,0,0,198,2,4,6,6
1966,1,0,3,207,3,7,110,575,0,594,0,177,105,1,3,0,3,7,0,0,1,0,1,3,0,196,7,0,30,0,0,0,0,53,0,0,40,0,0,7,0,171,7,0,7,0,0,1,0,188,2,4,6,4
1967,1,0,3,211,3,9,98,597,0,604,0,175,104,1,2,0,1,8,0,0,1,0,1,3,0,156,34,0,29,0,0,0,0,48,0,0,71,0,1,7,0,165,7,0,9,0,0,1,0,159,2,4,6,4
1968,1,0,3,204,3,5,98,621,0,573,0,177,80,1,1,0,1,7,0,0,1,0,1,3,5,174,13,0,32,0,0,0,0,47,0,0,37,0,0,7,0,155,8,0,11,0,0,1,0,164,0,5,5,4
1969,1,0,3,207,3,6,105,575,0,518,0,192,133,1,3,0,1,8,0,0,1,0,1,3,2,181,25,0,41,0,0,0,0,68,0,0,50,0,1,7,0,114,7,0,9,0,0,1,0,148,0,4,5,4
1970,1,0,2,198,3,5,97,504,0,464,0,182,148,1,2,0,1,8,0,0,1,0,1,3,0,208,4,0,39,0,0,0,0,38,0,0,36,0,0,7,0,101,6,0,5,0,0,0,0,177,0,5,5,5
1971,1,0,2,190,3,5,105,436,0,505,0,157,170,1,2,0,1,8,0,0,1,0,1,3,10,208,8,0,34,0,0,0,0,42,0,0,52,0,0,6,0,83,5,0,4,0,0,0,0,183,2,5,6,6
1972,1,0,2,174,4,6,121,423,0,482,0,146,163,1,2,0,0,8,0,0,1,0,1,1,4,255,13,0,29,0,0,0,0,35,0,0,18,0,0,6,0,88,6,0,3,0,0,1,0,194,3,6,6,6
1973,1,0,2,170,3,3,139,473,0,486,0,201,185,1,1,0,1,8,0,0,2,0,1,2,7,195,23,0,34,0,0,0,0,34,0,0,30,0,0,6,0,75,6,0,4,0,0,1,0,180,2,6,4,5
1974,1,0,2,156,3,5,113,631,0,467,0,227,117,1,2,0,0,7,0,0,3,0,1,2,8,210,11,0,36,0,0,0,0,35,0,0,41,0,0,6,0,66,5,0,4,0,0,0,0,141,2,6,3,3
1975,1,0,3,164,5,5,90,643,0,444,0,201,144,1,2,0,1,7,0,0,3,0,1,2,2,169,13,0,44,0,0,0,0,10,0,0,44,0,0,6,0,59,6,0,3,0,0,1,0,167,2,7,3,3
1976,1,0,3,175,5,5,105,459,0,587,0,172,171,1,2,0,0,8,0,0,3,0,0,2,8,187,10,0,46,0,0,1,0,25,0,0,21,0,0,6,1,35,4,0,2,0,1,1,0,181,4,7,4,3
1977,1,0,3,191,7,8,101,378,0,558,0,175,159,1,2,0,1,8,0,0,3,0,0,2,6,184,8,0,36,0,0,1,0,21,0,0,19,0,0,5,0,38,4,0,4,0,0,1,0,179,4,7,4,3
1978,1,0,3,183,6,6,105,424,0,545,0,219,157,1,2,0,0,8,0,0,3,0,0,2,7,128,3,0,46,0,0,1,12,18,0,0,39,0,0,5,0,40,6,0,4,0,0,0,0,144,3,8,4,3
