"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,88,0,303,7,670,257,0,0,5,0,263,0,0,6,0,0,6,4,0,7,6,0,0,18,68,20,0,0,0,0,0,0,0,20,0,43,0,0,0,0,0,8,101,46,0,0,0,0,279,0,0,3,"6,"
1962,0,80,0,321,6,654,316,0,0,5,0,167,0,0,8,0,0,6,4,0,6,9,0,0,17,66,20,0,0,0,0,0,0,0,22,0,42,0,0,0,0,0,4,98,49,0,0,0,0,278,0,0,3,"6,"
1963,0,66,0,307,6,720,285,0,0,2,0,118,0,0,4,0,0,7,4,0,7,9,0,0,18,64,19,0,0,0,0,0,0,0,9,0,41,0,0,0,0,0,4,99,49,0,0,0,0,286,0,0,3,"6,"
1964,0,61,0,313,6,731,296,0,0,3,0,79,0,0,4,0,0,6,4,0,7,12,0,0,17,68,19,0,0,0,0,0,0,0,10,0,40,0,0,0,0,0,4,100,49,0,0,0,0,280,0,0,3,"6,"
1965,0,63,0,293,6,763,322,0,0,3,0,72,0,0,4,0,0,6,4,0,7,17,0,0,17,66,19,0,0,0,0,0,0,0,9,0,39,0,0,0,0,0,5,97,47,0,0,0,0,298,0,0,4,"6,"
1966,0,69,0,292,7,696,352,0,0,3,0,76,0,0,4,0,0,6,5,0,8,22,0,0,17,64,20,0,0,0,0,0,0,0,10,0,38,0,0,0,0,0,6,101,47,0,0,0,0,309,0,0,4,"6,"
1967,0,80,0,301,7,485,438,0,0,3,0,64,0,0,3,0,0,6,4,0,9,38,0,0,25,72,16,0,0,0,0,0,0,0,9,0,44,0,0,0,0,0,5,98,46,0,0,0,0,333,0,0,4,"7,"
1968,0,87,0,300,7,679,481,0,0,3,0,65,0,0,2,0,0,6,4,0,8,29,0,0,22,66,17,0,0,0,0,0,0,0,7,0,33,0,0,0,0,0,7,98,45,0,0,0,0,266,0,0,4,"7,"
1969,2,92,1,283,8,637,505,0,0,0,0,71,0,0,2,0,0,6,5,0,10,29,0,0,24,56,19,0,0,0,0,0,0,0,16,0,35,0,0,0,0,0,11,98,44,0,0,0,0,274,0,0,4,"7,"
1970,4,105,1,289,8,579,564,0,0,1,0,91,1,0,2,0,0,6,5,0,11,25,0,0,23,54,24,0,0,0,0,0,0,0,15,0,34,0,0,0,0,0,9,96,44,0,0,0,0,295,0,0,4,"7,"
1971,5,131,2,279,6,358,710,0,0,3,0,107,13,0,3,0,0,7,5,0,12,15,0,0,23,51,29,0,0,0,0,0,0,0,14,0,45,0,0,0,0,0,16,98,35,0,0,0,0,293,0,0,4,"7,"
1972,3,119,2,301,9,433,661,0,0,4,0,84,18,0,2,0,0,7,5,0,9,8,0,0,16,54,28,0,0,0,0,0,0,0,17,0,47,0,0,0,0,0,14,100,34,0,0,0,0,288,0,0,4,"7,"
1973,12,120,7,276,8,513,675,0,0,10,0,80,22,0,3,0,0,7,5,0,10,12,0,0,28,46,28,0,0,0,0,0,0,0,11,0,36,0,0,0,0,0,17,97,20,0,0,0,0,314,0,0,4,"7,"
1974,6,130,3,291,9,406,730,0,0,2,0,83,17,0,2,0,0,7,5,0,12,22,0,0,51,47,31,0,0,0,0,0,0,0,12,0,36,0,0,0,1,0,15,96,33,0,0,0,0,321,0,0,4,"7,"
1975,16,126,4,307,14,368,754,0,0,11,0,76,7,0,3,0,0,7,5,0,14,17,0,0,51,42,34,0,0,0,0,0,0,0,18,0,33,0,0,0,1,0,12,95,39,0,0,0,0,365,0,0,4,"7,"
1976,17,111,3,314,19,536,655,0,0,19,0,82,2,0,3,0,0,7,3,0,10,19,0,0,62,33,27,0,0,0,0,0,0,0,15,0,34,0,0,0,1,0,11,97,46,0,2,0,0,354,0,0,4,"7,"
1977,16,90,5,297,13,574,531,0,0,20,0,47,18,0,3,0,0,7,5,0,13,20,0,0,40,25,36,0,0,0,0,0,0,0,10,0,28,0,0,0,1,0,27,100,13,0,2,0,0,409,0,0,4,"7,"
