year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,1,0,89,245,28,0,0,22,0,55,0,0,971,4,2,0,22,20,0,1,5,0,0,1,110,7,0,82,0,0,20,0,0,17,3,1,50,0,0,0,3,0,18,0,0,0,0,1,0,173,2,6,10,60
1962,1,0,83,260,28,0,0,31,0,57,0,0,999,9,2,0,22,38,0,1,7,0,0,1,137,2,0,82,0,0,18,0,0,20,2,1,55,0,0,0,3,0,13,0,0,0,0,1,1,165,6,5,11,85
1963,1,0,46,296,28,0,0,27,0,58,0,0,1038,9,3,0,19,30,0,1,8,0,0,2,125,5,0,76,0,0,18,0,0,16,2,0,59,0,0,0,2,0,15,0,0,0,0,1,1,160,8,5,17,57
1964,1,0,70,289,28,0,0,23,0,61,0,0,1065,8,3,0,20,33,0,1,10,0,0,3,141,9,0,81,0,0,19,0,0,16,2,1,61,0,0,0,2,0,22,0,0,0,1,1,1,166,7,6,14,52
1965,1,0,59,300,29,0,0,22,0,61,0,0,1084,8,1,0,15,24,0,1,7,0,0,2,83,10,0,88,0,0,17,0,0,12,2,1,67,0,0,0,2,0,16,0,0,0,0,1,1,165,7,3,12,52
1966,1,0,48,288,37,0,1,14,0,65,0,0,1100,7,2,0,14,26,0,1,6,0,0,1,90,14,3,99,0,0,17,0,0,17,2,1,67,0,0,0,2,0,14,0,0,0,0,1,1,173,6,1,11,35
1967,1,0,51,275,35,0,0,19,0,65,0,0,1152,8,2,0,18,29,0,1,6,0,1,1,95,15,4,100,0,0,17,0,0,15,2,1,87,0,0,0,1,0,15,0,0,0,0,0,1,157,6,4,13,62
1968,1,0,45,266,27,0,0,17,0,67,0,0,1197,10,2,0,16,29,0,1,7,0,0,0,96,14,5,103,0,0,15,0,2,15,2,1,93,0,0,0,2,0,16,0,0,0,1,0,1,169,8,4,14,67
1969,1,0,48,280,24,0,0,13,0,68,0,0,1222,8,1,0,17,25,0,1,6,0,1,2,111,16,0,109,0,0,12,0,3,14,2,1,104,0,0,0,1,0,14,0,0,0,0,0,1,196,4,6,13,52
1970,1,0,42,261,22,0,0,8,0,65,0,0,1252,5,2,0,20,23,0,1,8,0,1,1,99,16,1,92,0,0,10,0,4,16,2,1,103,0,0,0,1,0,19,0,0,0,0,0,1,215,2,10,14,36
1971,1,0,40,265,4,0,0,9,0,69,0,0,1259,8,2,1,19,28,0,1,10,0,1,10,137,24,5,92,0,0,12,0,4,16,3,1,98,0,0,0,1,0,21,0,0,0,0,0,0,228,7,12,19,48
1972,1,0,39,248,15,0,0,11,0,73,0,0,1259,11,1,1,20,28,0,1,8,0,0,0,145,29,6,88,0,0,19,0,4,20,3,1,94,0,0,0,1,0,31,0,0,0,0,0,1,231,4,8,21,67
1973,1,0,29,259,14,0,0,5,0,84,0,0,1260,11,1,1,21,20,0,1,11,0,0,3,128,27,5,63,0,0,19,0,3,18,4,1,92,0,0,0,1,0,27,0,0,0,0,1,1,227,4,11,19,41
1974,1,0,43,291,11,0,0,5,0,88,0,0,1262,10,3,1,17,24,0,1,9,0,1,0,115,23,7,88,0,3,22,0,5,17,5,1,85,0,0,0,2,0,26,0,0,0,0,0,1,226,4,14,27,90
1975,1,0,50,287,9,0,0,5,0,87,0,0,1261,10,4,1,13,27,0,1,10,0,1,2,130,24,4,101,0,1,23,0,5,20,6,1,80,0,0,0,2,0,28,0,0,0,0,0,1,220,6,14,24,106
1976,2,0,50,326,15,0,0,5,0,80,0,0,1279,14,6,1,13,29,0,1,10,0,1,9,119,27,7,117,0,4,25,0,9,23,7,1,77,0,0,0,3,0,27,0,0,0,0,0,1,220,1,11,32,97
