"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,0,23.4,0,0,0,0,0,0.1,0,0,1.7,0,0.2,0,0,1.6,0,0,0,0.1,0,44.8,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.3,0,0,0.1,0,0,0,0,0,0,"0,"
1962,0,0,0,23,0,0,0,0,0,0.1,0,0,1.7,0,0.2,0,0,1.6,0,0,0,0.1,0,46.8,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.5,0,0,0.2,0,0,0,0,0,0,"0,"
1963,0,0,0,25.4,0,0,0,0,0,0.2,0,0,1.7,0,0.2,0,0,1.6,0,0,0,0.1,0,44.6,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.1,0,0,0,0,0,0,"0,"
1964,0,0,0,26.4,0,0,0,0,0,0.2,0,0,1.8,0,0.2,0,0,1.6,0,0,0,0.1,0,40.9,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.1,0,0,0,0,0,0,"0,"
1965,0,0,0,24.5,0,0,0,0,0,0.1,0,0,1.3,0,0.2,0,0,1.6,0,0,0,0.1,0,41.2,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.2,0,0,0,0,0,0,"0,"
1966,0,0,0,24,0,0,0,0,0,0.2,0,0,0.7,0,0.3,0,0,1.7,0,0,0,0.1,0,40.8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.3,0,0,0,0,0,0,"0,"
1967,0,0,0,22.7,0,0,0,0,0,0.1,0,0,0.9,0,0.4,0,0,1.7,0,0,0,0.1,0,46.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.3,0,0,0.2,0,0,0,0,0,0,"0,"
1968,0,0,0,23.6,0,0,0,0,0,0.2,0,0,0.9,0,0.5,0,0,1.7,0,0,0,0.1,0,45.5,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.5,0,0,0.3,0,0,0,0,0,0,"0,"
1969,0,0,0,23.4,0,0,0,0,0,0.1,0,0,1,0,0.4,0,0,1.8,0,0,0,0.1,0,49,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.3,0,0,0,0,0,0,"0,"
1970,0,0,0,24.5,0,0,0,0,0,0.1,0,0,1.1,0,0.4,0,0,1.8,0,0,0,0.1,0,57.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.3,0,0,0,0,0,0,"0,"
1971,0,0,0,26.1,0,0,0,0,0,0.1,0,0,0.9,0,0.4,0,0,1.8,0,0,0,0.1,0,58.2,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.5,0,0,0.3,0,0,0,0,0,0,"0,"
1972,0,0,0,25.2,0,0,0,0,0,0.1,0,0,1,0,0.5,0,0,1.9,0,0,0,0.1,0,57.8,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.5,0,0,0.2,0,0,0,0,0,0,"0,"
1973,0,0,0,22.3,0,0,0,0,0,0.2,0,0,1.7,0,0.5,0,0,1.9,0,0,0,0.1,0.1,61.9,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.4,0,0,0.4,0,0,0,0,0,0,"0,"
1974,0,0,0,22.7,0,0,0,0,0,0.2,0,0,1.3,0,0.5,0,0,2,0,0,0,0.1,0,60.7,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.3,0,0,0.2,0,0,0,0,0,0,"0,"
1975,0,0,0,26.6,0,0,0,0,0,0.1,0,0,1.6,0,0.5,0,0,2,0,0,0,0.1,0.1,59.8,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.4,0,0,0,0,0,0,"0,"
1976,0,0,0,26.8,0,0,0,0,0,0.1,0,0,1.5,0,0.5,0,0,2,0,0,0,0.1,0,56.2,0,0.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.6,0,0,0,0,0,0,"0,"
1977,0,0,0,36.6,0,0,0,0,0,0.2,0,0,1.1,0,0.4,0,0,2,0,0,0,0.1,0,52.1,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.2,0,0,0,0,0,0,"0,"
1978,0,0,0,37.2,0,0,0,0,0,0.2,0,0,1,0,0.4,0,0,2,0,0,0,0.1,0,51.1,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.1,0,0,0,0,0,0,"0,"
1979,0,0,0,37.7,0,0,0,0,0,0.1,0,0,1.6,0,0.4,0,0,2,0,0,0,0.1,0,52.7,0,0.2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.2,0,0,0,0,0,0,"0,"
1980,0,0,0,37.1,0,0,0,0,0,0.3,0,0,0.9,0,0.4,0,0,2,0,0,0,0.1,0,49.9,0,0.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.7,0,0,0.2,0,0,0,0,0,0,"0,"
1981,0,0,0,38.5,0,0,0,0,0,0.3,0,0,0.8,0,0.5,0,0,2,0,0,0,0.1,0,52.5,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.6,0,0,0.2,0,0,0,0,0,0,"0,"
1982,0,0,0,39.1,0,0,0,0,0,0.3,0,0,0.9,0,0.4,0,0,2,0,0,0,0.1,0,51.1,0,0,2.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1.7,0,0,0.2,0,0,0,0,0,0,"0,"
1983,0,0,0,35.5,0,0,0,0,0,0.2,0,0,1.1,0,0.5,0,0,2,0,0,0,0.1,0,49.9,0,0,3.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0,0,1.8,0,0,0.2,0,0,0,0,0,0,"0,"
1984,0,0,0,38.4,0,0,0,0,0,0.2,0,0,1.1,0,0.5,0,0,2,0,0,0,0.1,0,50.1,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1.7,0,0,0.3,0,0,0,0,0,0,"0,"
1985,0,0,0,49.9,0,0,0,0,0,0.3,0,0,1,0,0.5,0,0,1.6,0,0,0,0.1,0,48.4,0,0,2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1.7,0,0,0.6,0,0,0,0,0,0,"0,"
1986,0,0,0,52.3,0,0,0,0,0,0.3,0,0,0.9,0,0.5,0,0,1.3,0,0,0,0.1,0,48.9,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1.7,0,0,0.3,0,0,0,0,0,0,"0,"
1987,0,0,0,61.4,0,0.2,0,0,0,0.2,0,0,0.9,0,0.5,0,0,1.1,0,0,0,0.1,0,46.8,0,0,1.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,1.6,0,0,0.4,0,0,0,0,0,0,"0,"
1988,0,0,0,56.8,0,0.2,0,0,0,0.3,0,0,0.8,0,0.5,0,0,0.8,0,0,0,0.1,0,50.6,0,0,1.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,1.7,0,0,0.4,0,0,0,0,0,0,"0,"
1989,0,0,0,59,0,0.2,0,0,0,0.3,0,0,0.9,0,0.3,0,0,0.6,0,0,0,0.1,0,49.2,0,0,0.8,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,1.6,0,0,0.6,0,0,0,0,0,0,"0,"
1990,0,0,0,62,0,0.4,0,0,0,0.3,0,0,1,0,0.3,0,0,0.6,0,0,0,0.1,0,48.6,0,0,1.4,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,1.1,0,0,0.6,0,0,0,0,0,0,"0,"
1991,0,0,0,58.4,0,0,0,0,0,0.7,0,0,1,0,0.2,0,0,0.7,0,0,0,0.1,0,48.7,0,0,1.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0.9,0,0,0.6,0,0,0,0,0,0,"0,"
1992,0,0,0,61.4,0,0,0,0,0,0.8,0,0,1,0,0.2,0,0,0.8,0,0,0,0.1,0,46.4,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0.9,0,0,0,0,0,0,"0,"
1993,0,0,0,58.8,0,0,0,0,0,0.6,0,0,0.9,0,0.2,0,0,0.8,0,0,0,0.1,0.1,50.1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0.9,0,0,0,0,0,0,"0,"
1994,0,0,0,59.7,0,0,0,0,0,0.8,0,0,1,0,0.2,0,0,0.8,0,0,0,0.1,0.2,43.5,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0.9,0,0,0,0,0,0,"0,"
1995,0,0,0,58.7,0,0.1,0,0,0,1.1,0,0,0.7,0,0.2,0,0,1,0,0,0,0.1,0.1,44.6,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0.8,0,0,0,0,0,0,"0,"
1996,0,0,0,61.1,0,0.1,0,0,0,0.6,0,0,0.8,0,0.3,0,0,1.1,0,0,0,0.1,0.1,48.8,0,0,2.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0.8,0,0,0,0,0,0,"0,"
1997,0,0,0,55.1,0,0.1,0,0,0,0.8,0,0,0.9,0,0.3,0,0,1,0,0,0,0.1,0.1,51.6,0,0,2.7,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.6,0,0,0.8,0,0,0,0,0,0,"0,"
1998,0,0,0,57.3,0,0,0,0,0,0.7,0,0,1,0,0.4,0,0,1,0,0,0,0.1,0.1,55,0,0,3.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,0,0.9,0,0,0,0,0,0,"0,"
1999,0,0,0,57.9,0,0,0,0,0,0.9,0,0,1.6,0,0.4,0,0,1,0,0,0,0.1,0.2,51.4,0,0,2.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,1.2,0,0,0,0,0,0,"0,"
2000,0,0,0,65.1,0,0,0,0,0,0.6,0,0,1.6,0,0.4,0,0,1,0,0,0,0.1,0.1,49.4,0,0,3.3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,0,0.9,0,0,0,0,0,0,"0,"
2001,0,0,0,72,0,0,0,0,0,0.5,0,0,1.6,0,0.4,0,0,1.1,0,0,0,0.1,0.1,50.5,0,0.2,2.1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,0,0.8,0,0,0,0,0,0,"0,"
2002,0,0,0,70.2,0,0,0,0,0,0.4,0,0,2,0,0.4,0,0,1.1,0,0,0,0.1,0.1,47.3,0,1,3.4,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,1,0,0,0,0,0,0,"0,"
2003,0,0,0,66.4,0,0,0,0,0,0.4,0,0,2.5,0,0.4,0,0,1.3,0,0,0,0.1,0.2,53.7,0,0.9,1.6,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.9,0,0,1.1,0,0,0,0,0,0,"0,"
2004,0,0,0,61.7,0,0,0,0,0,0.3,0,0,2.6,0,0.4,0,0,1.3,0,0,0,0.1,0.3,55.7,0,0.3,1.5,0,4.8,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0.9,0,0,1.1,0,0,0,0,0,0,"0,"
2005,0,0,0,65,0,0,0,0,0,0.3,0,0,2.1,0,0.4,0,0,1.4,0,0,0,0.1,0.2,58.2,0,0.2,1.9,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.9,0,0,0.9,0,0,0,0,0,0,"0,"
2006,0,0,0,60.7,0,0,0,0,0,0.3,0,0,2.2,0,0.4,0,0,1.1,0,0,0,0.1,0.2,61.9,0,0,1.7,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,1.3,0,0,0,0,0,0,"0,"
2007,0,0,0,60.6,0,0,0,0,0,0.3,0,0,2.2,0,0.5,0,0,1.1,0,0,0,0.1,0.2,62.4,0,0.1,1.5,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1,0,0,1.3,0,0,0,0,0,0,"0,"
2008,0,0,0,61.7,0,0,0,0,0,0.3,0,0,2.2,0,0.5,0,0,1.2,0,0,0,0.1,0.2,62.6,0,0.1,2.1,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.9,0,0,1.4,0,0,0,0,0,0,"0.1,"
2009,0,0,0,61.7,0,0,0,0,0,0.3,0,0,2.8,0,0.5,0,0,1.2,0,0,0,0.1,0.2,64.1,0,0.1,3.2,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.9,0,0,1.2,0,0,0,0,0,0,"0.1,"
