"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,1.4,0,7.4,182.5,86.8,0.3,1.4,0,0,1.9,0,0,302.2,8.2,3.8,0,17.8,20.8,0.3,2.5,30.1,0,0,0,0,2.2,0,2.5,0.3,7.1,0,1.1,0,1.4,0.8,0.8,5.8,0,0.3,1.1,0,0,86,0,0,0,0.3,5.5,0.5,47.1,0,16.2,21.9,"53.7,"
1962,0.5,0,3.3,161.9,73.4,0.3,1.4,0,0,1.1,0,0.3,317.8,6.6,3.6,0,16.2,22.7,0,2.5,24.7,0,0,0,0,1.4,0,3,0,5.2,0,1.1,0,1.4,1.6,1.1,5.2,0,0,1.1,0,0,63.8,0,0,0,0,5.5,0.5,49.6,0,14.8,29.9,"50.4,"
1963,0.3,0,2.7,139.2,83,0,0.8,0,0,1.1,0,0.3,294.8,4.9,3.6,0,24.1,20.8,0,2.5,21.4,0,0,0,0,1.1,0,3.3,0,7.4,0,1.1,1.4,1.4,1.1,1.1,4.4,0,0,1.1,0,0,49.3,0,0,0,0,4.1,0.5,48.2,0,14.5,24.1,"51.5,"
1964,0.3,0,1.1,147.7,75.1,0,1.4,0,0,1.1,0,0,290.4,3.3,3.8,0,26.8,21.6,0.5,2.7,49.6,0,0,0,0,1.4,0,4.4,0.3,6.3,0,0.8,3.6,1.4,1.1,0.8,6.3,0,0.3,1.1,0,0,46.3,0,0,0,0.3,5.2,0.5,49.9,0,15.3,21.6,"49,"
1965,0.3,0,5.5,151.8,79.2,0,1.6,0,0,1.1,0,0,314.2,4.1,5.2,0,19.2,19.7,0.5,2.7,37,0,0,0,0,1.1,0,4.4,0,6.6,0,1.1,3.6,1.4,0.8,0.5,6,0,0,1.1,0,0,51.5,0,0,0,0.3,6,0.5,46.8,0,7.4,18.4,"53.4,"
1966,0.3,0,3.8,159.2,66.6,0,1.6,0,0,1.1,0,0,323.3,2.7,3.6,0,21.4,17.3,0.5,2.7,37.3,0,0,0,0,0.8,0,3,0,7.7,0,0.8,3.3,1.4,0.8,0.5,4.9,0,0,1.1,0,0,36.7,0,0,0,0.3,5.5,1.1,47.9,0.5,8.2,17.5,"53.7,"
1967,0.3,0,4.1,160.3,69.6,0,3.3,0,0,1.4,0,0,340.5,2.5,3.6,0,22.7,17,0.5,2.7,47.4,0,0,0,0,1.4,0,2.7,0.3,6,0,1.1,5.5,1.4,0.8,0.5,5.2,0,0.3,1.1,0,0,29.9,0,0,0,0.3,5.2,1.1,50.4,0.5,7.9,11.8,"51.5,"
1968,0.3,0,2.2,179.7,84.7,0,2.2,0,0,1.6,0,0.3,340.5,2.2,1.9,0,23.8,15.3,0.8,2.7,51.2,0,0,0,0,1.6,0,4.7,0,7.1,0,0,4.9,1.1,0.8,0.8,4.9,0,0.3,1.1,0.3,0,46,0,0,0,0.3,4.7,0.8,51,0.5,6,15.1,"61.9,"
1969,0.5,0,5.2,181.6,87.1,0,2.7,0,0,1.6,0,0.3,337.3,2.2,2.2,0,24.9,13.7,0.8,3,52.6,0,0,0.3,0,1.1,0.3,3.3,0.3,4.4,0,0.3,8.2,0.5,1.1,0.5,4.4,0,0.3,0.8,0.3,0,34.2,0,0,0,0.3,4.1,0.8,47.9,1.1,7.1,15.3,"59.5,"
1970,0.3,0,6.8,172.9,85.5,0,3.6,0,0,1.1,0,0,327.9,2.5,1.9,0,19.7,18.1,0.5,2.7,64.4,0,0,0.3,0,1.6,0.3,3.8,0.3,7.1,0,0.5,6,0.5,1.4,0.5,4.7,0,0.3,0.8,0.3,0,45.2,0,0,0,0.3,3,0.8,42.2,1.4,7.1,20.8,"63,"
