year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,0,0,2.5,476.4,9.9,0,0,0,0.8,62.7,0,0,246.6,1.4,0,0,0,292.9,0,0,0,0,0,0,2.2,0,6.6,0,0,0,0,12.6,0,0,0,0,4.1,0,0,0,0,0.5,30.4,0,4.9,0.8,2.5,0.5,0.3,97,0.8,9,0.3,7.7
1962,14.5,0,1.6,446.8,12.1,0,0,0,1.4,65.5,0,0,227.7,1.6,0,0,0,298.9,0,0,0,0,0,0,3.3,0,2.7,0,0,0,0,21.4,0,0,0,0,3,0,0,0,0.3,0.5,27.1,0,4.9,1.1,2.7,0.5,0.3,126.8,0.8,8.5,0.5,11
1963,16.2,0,2.2,421.9,12.3,0,0,0,2.2,51.8,0,0,231.5,1.4,0,0,0,285.2,0,0,0,0,0,0,1.1,0,3,0,0,0,0,21.9,0,0,0,0,3.3,0,0,0,0.3,0.5,33.4,1.4,5.5,1.4,2.2,0.5,0.3,106.8,1.1,11.2,0.5,18.1
1964,16.2,0,0.8,407.1,15.1,0,0,0,1.9,47.4,0,0,264.4,1.9,0,0,0,295.6,0,0,0,0,0,0,0.5,0,3,0.3,0,0,0,19.7,0,0,0,0,4.1,0,0,0,0.3,0.5,28.8,0,4.9,1.6,2.5,0.5,0.3,105.8,1.6,10.7,0.8,15.3
1965,15.6,0,0.5,407.1,14,0,0,0,2.7,48.5,0,0,266.6,1.4,0,0,0,288.2,0,0,0,0,0,0,0.5,0,4.4,0,0,0,0,21.6,0,0,0,0,4.9,0,0,0,0.3,0.8,27.1,0,6.8,1.6,2.7,0.5,0.3,123,2.2,10.1,1.1,24.4
1966,20.8,0,0.8,402.2,28.8,0,0.5,0,4.1,38.6,0,0,219.5,2.7,12.3,0,0,278.6,9.6,0.5,51.5,1.9,0,0,1.1,0,3.6,0,0,0,0,20.3,0,0,0,0,8.8,0,0,0,0.5,0.8,29.6,4.7,8.2,2.2,3,0.5,0,127.9,5.5,9.3,1.4,23.6
1967,20.3,0,0.8,403,31.2,1.6,0.3,0,3.8,31.5,0,0,153.4,2.2,6.3,0,0,277.3,4.7,0.8,44.9,3.3,0,0,1.1,0,5.2,0.3,0,0,0,24.1,0,0,0,0,3.3,0,0,0,0.3,1.1,28.8,9.6,6.6,2.5,2.2,1.4,0.3,131.5,2.7,9.3,2.5,20.8
1968,19.5,0,0.8,376.7,32.6,0,2.5,0,4.7,40.3,0,0,160.8,1.6,8.2,0,0,278.1,9.3,1.1,55.3,1.4,0,0,0.5,0,3.6,0.3,0,0,0,20.3,0,0,0,0,3.3,0,0,0,0.8,1.6,29,4.7,13.4,3.3,2.2,0.8,0.3,133.4,4.9,10.4,3.3,34.8
1969,19.2,0,0.8,429.9,43.8,0.3,0.5,0,5.2,44.9,0,0,158.4,2.5,7.7,0,0,277.8,5.2,0.8,40.5,1.1,0,0,0.5,0,3.8,0,0,0,0,18.6,0,0,0,0,3,0,0,0,0.5,2.2,27.9,4.7,10.1,6,3,0.8,0.3,130.4,4.1,10.1,4.1,40.8
1970,23,0,1.1,449.9,46,3.3,0.5,0,6.6,40.3,0,0,168.2,3.6,6.8,0,0,282.7,7.7,1.4,65.5,1.9,0,0,0.8,0,12.3,0,0,0,0,15.9,0,0.5,0,0,3.8,0,0,0,0.3,3,34.2,3.6,5.2,9,6,0.8,0.3,130.7,5.5,11.8,5.8,48.8
1971,22.2,0,0.8,452.3,44.9,1.9,0.5,0,6.6,38.1,0,0,171.8,3.3,6.3,0,0,284.1,5.5,1.4,33.4,1.4,0,0,0.8,0,12.1,0,0,0,0,16.4,0,0.5,0,0,3.3,0,0,0,0.3,4.4,32.3,1.1,4.9,11,4.9,0.8,0.3,117,4.1,11.8,6.3,51.5
1972,8.2,0,1.1,467.7,43,1.1,0.8,0,6.8,40,0,0,174.5,3.6,5.2,0,0,277.3,2.7,2.2,17,0.8,0,0,1.1,0,9.9,0.3,0,0,0,14.2,0,0.5,0,0,3.3,0,0,0,0.5,5.5,28.2,1.9,5.2,12.6,4.7,1.1,0.3,89.6,3,10.4,7.1,52.9
1973,20.3,0,1.4,442.5,40.5,0.5,21.1,0,7.1,31.8,0,0,156.4,1.6,3.3,0,0,264.7,3.6,0.8,1.1,0.5,0,0,1.4,0,9.9,0.3,0,0,0,7.9,0,0.5,0,0,2.5,0,0,0,0.5,2.5,20.3,2.7,5.5,6.6,3.6,0.8,0.3,87.9,2.5,4.9,4.4,41.6
1974,5.8,0,1.1,421.4,23.3,0,24.1,0,8.2,31.2,0,0,163.8,0.8,1.1,0,0,255.3,6,0.8,15.9,0.8,0,0,0.8,0,10.1,0.3,0,0,0,6.6,0,1.1,0,0,2.5,0,0,0,0.8,0.5,24.4,4.4,3.3,2.5,3,1.1,0.3,84.7,2.7,6.8,2.7,31.2
1975,5.2,0,0.8,447.1,25.5,0,28.5,0,6.8,32.9,0,0,175.9,0.8,0.5,0,0,268.2,5.2,0.5,23.6,0.8,0,0,1.1,0,11.5,0,0,0,0,5.5,0,0.8,0,0,2.5,0,0,0,1.1,1.4,18.9,0.8,5.8,1.4,3,0.5,0.3,79.5,2.5,6.3,4.4,35.9
1976,10.7,0,1.1,430.4,20.3,0,24.1,0,6.3,30.4,0,0,172.1,0.8,0.8,0,0,258.1,4.9,0.5,20.8,1.4,0,0,1.1,0,11.5,0,0,0,0,0,0,0.5,0,0,2.2,0,0,0,0.8,1.6,21.4,1.1,7.1,2.2,2.5,0.5,0.3,87.7,2.5,7.1,4.1,40.8
