"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,5.2,1.1,40.5,1086.6,278.4,0,3.8,0,0.3,8.5,1.9,0,269.3,47.1,30.4,0,1.1,34.5,1.9,4.7,46.6,19.5,0,10.4,0.3,6,0,1.4,0.3,0,0,0.5,0.3,3.3,1.1,2.5,0,0,0.3,0,0.3,0,98.6,0,0.3,0,4.4,5.8,7.1,146.3,5.2,14.8,37.3,"116.4,"
1962,5.8,1.1,38.9,1111.5,280,0,4.7,0,0,6.3,1.4,0,277.8,47.4,28.8,0,0.8,38.9,1.9,4.7,44.1,19.2,0,11.8,0,4.1,0,1.6,0,0,0,0.5,0,3.3,1.1,2.5,0,0,0.3,0,0.3,0,114,0,0.3,0,3.8,4.9,7.1,143.3,4.7,14,36.4,"117.8,"
1963,5.5,1.1,40.8,1088.2,290.4,0,7.7,0,0.5,8.5,1.6,0,281.9,52.3,28.2,0,0.8,43.6,2.5,5.2,49,19.7,0,11.5,0,5.5,0,1.4,0.5,0.3,0,1.1,0.3,3.3,0.8,2.2,0,0,0.3,0,0.3,0,145.2,0,0.3,0,3.3,3.6,7.1,143.3,4.7,14.8,32.9,"116.7,"
1964,6,1.1,41.4,1113.4,300,0,7.7,0,3.6,8.5,1.6,0,271.8,50.1,30.1,0,1.1,38.6,2.2,4.1,44.1,20.8,0,12.1,0.3,5.2,0,1.4,0,0.8,0,1.1,0.3,3.3,1.1,2.2,0,0,0.3,0,0.3,0,119.2,0,0.3,0,4.4,4.1,6.8,145.2,6,14,34,"120.3,"
1965,6.3,1.1,40.8,1114.8,299.5,0,7.9,0,4.1,8.5,3.3,0,255.6,52.6,27.9,0,0.8,39.2,2.2,4.4,54.2,20,0,11.2,1.1,5.2,0,1.1,0.5,0.8,0,1.4,0.3,3.3,0.5,2.5,0,0,0.3,0,0.3,0,105.8,0,0.3,0,2.5,3.8,7.4,145.5,6,15.9,35.6,"121.9,"
1966,5.8,1.1,41.1,1148.2,297.8,0,9.3,0,6.3,6.6,2.7,0,282.2,49.6,25.5,0,0.8,38.6,2.2,3.8,43,22.2,0,10.7,1.6,7.1,0.3,1.4,0.5,1.4,0,1.1,0.3,5.2,1.9,3,0,0,0.3,0,0.3,0,132.1,0,0.3,0,3.8,3.3,7.1,141.9,7.1,13.2,38.1,"134.2,"
1967,5.5,1.1,42.7,1094.8,305.8,0,6.8,0,4.9,7.1,2.7,0,281.6,53.4,26,0,0.8,38.4,1.9,4.7,50.4,26.6,0,11,0.8,8.8,0.3,1.1,0,1.4,0,1.1,0.3,5.5,0.3,2.7,0,0,0.3,0,0.3,0,127.7,0,0.3,0,4.9,3.6,6.3,138.9,7.1,17,40.3,"123.8,"
1968,6.3,1.1,45.2,1118.1,314.5,0,7.7,0,5.8,7.9,4.4,0,273.4,54,26.8,0,0.8,36.2,2.2,4.9,46.6,29,0,10.1,1.6,5.8,0,1.4,0.5,1.1,0,1.9,0.5,5.2,0.3,4.1,0,0,0.3,0,0.3,0,130.7,0,0.3,0,3.6,3.8,6,140,6,13.2,34.8,"130.1,"
1969,6.3,1.1,44.4,1108.5,324.9,0,7.4,0,2.2,5.2,1.9,0,269.9,62.5,24.9,0,0.8,37.3,2.2,4.9,54.8,26.6,0,13.7,1.6,3.3,0.3,1.4,0,2.2,0,1.1,1.1,5.5,0.5,5.2,0,0,0.3,0,0.3,0,155.9,0,0.3,0,3.3,4.4,6.6,142.2,6.6,18.1,34.5,"137.5,"
1970,7.1,1.1,49,1085.8,332.9,0,7.4,0,1.6,9,4.4,0,266.3,60.5,26,0.3,1.1,49.3,3,5.2,49.6,26,0,9.6,1.4,8.8,0.3,1.6,1.1,4.1,0,1.9,1.4,4.9,0.3,4.4,0,0,0.3,0,0.3,0,140.3,0,0,0,3.8,4.1,5.8,143.6,6.8,16.4,35.1,"121.6,"
1971,7.7,1.1,44.4,1138.6,338.9,0,8.2,0,1.1,11.2,3.6,0,257,61.6,25.5,0.3,0.8,50.1,2.7,6,66,24.9,0,9.6,0.3,4.1,0,1.4,1.4,1.9,0,1.9,4.4,5.5,3,4.4,0,0,0.3,0,0.3,0,143.3,0,0.3,0,3.6,4.1,5.5,142.7,8.8,17,37.5,"136.2,"
1972,8.2,1.1,48.5,1166.6,341.6,0,8.2,0,1.6,6,0.8,0,260.5,52.6,25.8,0.5,0.5,51,3.3,7.1,57.8,24.4,0,9.9,0.3,4.9,0.3,1.9,1.4,3.3,0,1.1,6.6,6,1.6,3.8,0,0,0.3,0,0.3,0,149.9,0,0.5,0,3.8,3.8,5.8,143.8,10.1,18.1,39.5,"128.2,"
1973,6.8,0.8,41.4,1124.4,352.9,0,8.8,0,2.7,11.5,1.1,0,234.2,61.1,19.5,0,0.8,42.5,3.6,6.3,69,21.1,0,9.3,1.1,4.7,0.3,1.4,1.4,3,0,1.6,7.4,5.8,1.1,3.3,0,0,0.3,0,0.3,0,127.1,0,0.5,0,4.1,4.4,5.5,141.6,11.2,16.7,35.1,"120,"
