year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,17.8,0,1.1,481.4,17,13.7,65.5,0,0,44.1,0,0,191.8,0.8,25.5,0,0,36.2,31,0,153.7,0,0,18.1,0,0,2.2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17.3,32.3,0,0,2.2,0.3,1.4,67.9,0,6.3,0,39.5
1962,19.2,0,1.9,533.7,32.9,12.1,52.3,0,0.3,47.1,0,0,204.1,2.7,29.3,0,0,38.9,40.8,0,254,0,0,26.3,0,0,2.5,0,0,0,0,0,0,3.6,21.1,0,0,0,0,0,0,0,19.7,33.2,0,0,2.2,0.8,1.1,69.3,0.3,8.5,0,39.2
1963,18.4,0,1.4,448.2,28.8,17.8,55.1,0,0,51.2,0,0,200.3,1.6,29.9,0,0,39.2,39.5,0,239.5,0,0,23.6,0,0,1.9,0,0,0,0,0,0,1.6,30.1,0,0,0,0.3,0,0,0,20.3,38.1,0,0,1.6,0.8,1.4,74.2,1.1,10.4,0,37.5
1964,16.7,0,1.9,454.8,30.4,7.4,47.1,0,0.3,55.6,0,0,195.1,2.2,37.8,0,0,37.3,51,0,209,0,0,23.3,0,0,1.9,0,0,0,0,0,0,1.6,31.8,0,0,0,0.5,0,0,0,18.6,38.6,0,0,2.2,0.5,0.8,80.5,1.4,10.1,0,35.9
1965,17.5,0,1.6,407.7,32.9,3.8,51,0,0.3,61.1,0,0,200.8,1.9,30.4,0,0,38.1,37.8,0,221.1,0,0,23,0,0,1.9,0,0,0,0,0,0,0.5,26.8,0,0,0,0.3,0,0,0,15.1,39.5,0,0,2.5,0.5,1.1,85.8,0.3,9.6,0,37.3
1966,14.5,0,1.6,426,27.1,2.5,34.2,0,0.3,64.4,0,0,216.7,1.6,35.1,0,0,38.6,18.4,0,131,0,0,23.8,0,0,1.9,0,0,0,0,0,0,0.5,25.8,0,0,0,0.5,0,0,0,12.9,40,0,0,3.3,0.8,0.8,89,0.3,9.9,0.3,38.1
1967,14,0,0.8,443,24.1,2.2,44.9,0,0,64.9,0,0,210.7,1.6,34.5,0,0,38.6,31.8,0,105.8,0,0,24.9,0,0,2.2,0,0,0,0,0,0,0,28.8,0,0,0,0.3,0,0.3,0,18.4,40.8,0,0,1.9,0.8,0.8,94,0.3,9,0.8,28.5
1968,14,0,1.4,456.7,28.8,2.2,23.6,0,0,74,0,0,207.9,1.4,27.4,0,0,35.6,18.1,0,86.8,0,0,22.5,0,0,2.2,0,0,0,0,0,0,0.3,31,0,0,0,0.5,0,0.3,0,19.7,36.4,0,0,1.9,1.1,1.1,98.9,0.5,13.2,0.8,29.6
1969,14.2,0,1.6,404.9,35.6,2.5,29.3,0,0,74.8,0,0,201.1,2.2,30.1,0,0,34,9.9,0,92.9,0,0,23.3,0,0,1.9,0,0,0,0,0,0,0.3,32.3,0,0,0,0.5,0,0.3,0,17.3,21.6,0,0,1.6,0.8,0.8,101.1,0.3,10.4,1.4,26.8
1970,14.8,0,1.1,488.8,33.7,3.6,31.5,0,0,74.5,0,0,192.1,1.1,28.5,0,0,27.1,15.6,0,64.9,0,0,26.6,0,0,2.2,0,0,0,0,0,0,0.3,32.1,0,0,0,0.5,0,0.5,0,15.6,21.1,0,0,1.9,1.1,0.8,102.2,0.3,10.4,1.1,26.6
