year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,4.1,0.3,0,226.6,13.4,0,172.9,0,0,11.8,0,52.3,31.8,0.3,46,0,0,41.4,0,11.8,22.7,17,0,6.6,8.8,0,0,0.3,0,0,0,0,0,1.4,19.7,0,0,0,0,0,0,6.8,4.1,0,0.3,0,0.8,6.3,0,58.4,0.5,4.7,10.7,63.8
1962,4.1,0.3,0,231.2,12.9,0,172.1,0,0,12.9,0,53.2,34.8,0.3,44.7,0,0,41.9,0,11.2,23,17,0,6.6,9,0,0.3,0.3,0,0,0,0,0,1.4,25.2,0,0,0,0,0,0,7.1,4.9,0,0.3,0,0.8,6,0,57.5,0.5,4.9,11,64.4
1963,4.1,0.3,0,236.4,12.3,0.3,180,0,0.3,13.2,0,51.5,31.8,0.5,45.2,0,0,41.1,0,11.2,22.7,17.3,0,6.6,9.9,0,0,0.3,0,0,0,0,0,1.4,24.4,0,0,0,0,0,0,7.1,5.2,0,0.3,0,0.5,6.3,0,63,0.8,4.9,11.2,65.2
1964,4.7,0.3,0,217.3,11.2,0.3,175.6,0,0.3,13.4,0,50.7,40.5,0.5,46.3,0,0,44.7,0,10.7,20.5,16.7,0,6.6,10.4,0,0,0.3,0,0,0,0,0,1.4,24.1,0,0,0,0,0,0,7.4,5.2,0,0.3,0,0.8,6.3,0,57.3,0.8,4.7,11.5,68.2
1965,5.2,0.3,0,218.4,11.2,0.3,175.6,0,0.5,14.2,0,49.6,41.6,0.3,47.9,0,0,44.1,0,10.7,20.5,16.4,0,6.6,11.2,0,0,0.3,0,0,0,0,0,1.4,23.8,0,0,0,0,0,0,7.4,14.2,0,0.3,0,0.8,6.8,0,71.5,0.5,4.9,11.5,69.3
1966,4.7,0.3,0.3,219.2,10.7,0.3,176.2,0,0,14,0,54.5,42.2,0.3,51.5,0,0,47.7,0,10.4,24.1,17.3,0,6.6,11.2,0,0,0.3,0,0,0,0,0,1.4,22.7,0,0,0,0,0,0,7.4,4.9,0,0.3,0,0.8,7.1,0,67.7,1.1,5.5,11.2,76.7
1967,4.7,0.3,0,214.5,10.7,0.5,177.5,0,0,16.2,0,51.5,43.6,0.3,41.6,0,0,49,0,10.1,24.9,17.5,0,6.6,11,0,0,0.3,0,0,0,0.5,0,1.4,20.8,0,0,0,0,0,0,7.7,7.4,0,0.3,0,0.8,6.8,0,71.8,1.1,5.5,12.1,75.3
1968,4.7,0.3,0.3,206.8,10.4,0.5,178.4,0,0.8,21.4,0,53.2,42.7,0.3,42.5,0,0,44.9,0,9.9,26.3,18.4,0,6.6,10.7,0,0,0.3,0,0,0,0.5,0,1.1,25.5,0,0,0,0,0,0,7.7,10.1,0,0.3,0,0.5,7.4,0,71.5,1.1,5.8,13.2,78.1
1969,4.4,0.3,0.3,208.8,11.8,0.8,178.4,0,3.8,21.9,0,51.2,43.3,0.3,41.1,0,0,42.2,0,9.9,26.6,18.6,0,6.8,11,0,0,0.3,0,0,0,0.3,0,1.1,23.8,0,0,0,0,0,0,7.9,6,0,0.3,0,0.5,5.5,0,71.5,0.8,5.8,13.2,79.7
1970,4.4,0.3,0,203.6,14.8,0.5,185.8,0,0,21.1,0,51.2,42.2,0.3,41.4,0,0,46.3,0,9.6,26.3,19.5,0,7.1,10.4,0,0,0.3,0,0,0,0.3,0,1.1,23,0,0,0,0,0,0,7.4,9.9,0,0.3,0,0.8,5.5,0,70.4,0.5,6.3,12.1,84.4
1971,4.4,0,0,202.5,14.5,0.5,190.4,0,0,19.5,0,57.5,49,0.3,44.1,0,0,40.8,0,9.6,24.9,20.3,0,7.4,9.6,0,0,0.3,0,0,0,0.3,0,1.1,20.8,0,0,0,0,0,0,8.5,11.2,0,0.3,0,0.8,5.8,0,73.2,1.1,5.8,11.5,78.9
1972,4.1,0.3,0.3,194.2,15.9,0.5,184.4,0,0.3,17.5,0,58.9,47.4,0.3,42.5,0,0,40,0,9.3,25.2,18.9,0,7.7,10.1,0,0,0.3,0,0,0.3,0.3,0,1.1,22.2,0,0,0,0,0,0,8.8,8.5,0,0.3,0,0.8,6.3,0,77.3,0.8,4.7,11.8,72.3
1973,4.4,0.3,0.3,197.8,16.2,0.3,199.7,0,0,17.3,0,54,47.9,0.3,43,0,0,37.5,0,9.3,25.2,16.2,0,7.9,11.2,0,0,0.3,0,0,0.3,0.3,0,1.1,23.3,0,0,0,0,0,0,9,10.4,0,0.3,0,0.5,6,0,78.6,1.1,4.1,11,65.2
1974,6.8,0.3,0.3,214.5,21.9,0,209,0,0,17,0,52.6,40,0.3,48.5,0,0,36.4,0,9,24.4,14.2,0,8.2,11.5,0,0.3,0.3,0,0,0.3,0.3,0,1.1,23.6,0,0,0,0,0,0,9.3,13.4,0,0.3,0,0.5,6,0,79.5,1.4,3.6,11.8,59.7
1975,7.7,0.3,0.3,236.2,24.9,0.3,221.9,0,0,16.4,0,62.5,45.5,0.8,44.4,0,0,39.7,0,9,27.4,15.3,0,9.9,12.6,0,0,0.3,0,0,0.3,0,0,1.1,24.4,0,0,0,0,0,0,9.6,13.4,0,0.3,0,0.5,5.8,0,85.2,1.1,3.6,12.1,58.4
1976,8.8,0.3,0.3,278.1,27.7,0,212.6,0,0,17.3,0,52.6,52.6,0.8,47.4,0,0,41.9,0,8.8,28.2,11.8,0,13.7,9.6,0,0,0.3,0,0,0.3,1.6,0,1.1,24.1,0,0,0,0,0,0,7.1,11.5,0,0.3,0,0.5,5.8,0,96.7,1.1,3.6,8.5,59.5
1977,9,0.3,0.5,260.3,27.9,0,221.1,0,0,17.5,0,51.5,61.4,1.1,54.2,0,0,41.1,0,9.6,29.9,11,0,17.5,11,0,0,0,0,0,0.3,0.8,0,1.1,23.8,0,0,0,0,0,0,7.1,10.1,0,0.3,0,0.5,5.5,0,93.2,1.4,3.3,8.2,54
1978,8.5,0.3,0.8,278.1,28.8,0,221.6,0,0,16.7,0,45.8,63.8,1.1,55.6,0,0,43.6,0,10.7,54.2,8.8,0,17.8,11.8,0,0,0.3,0,0,0.5,0.5,0,1.1,23,0,0,0,0,0,0,8.5,18.6,0,0.3,0,0.5,6,0,98.9,1.4,3.3,13.2,52.9
