"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,8.5,143.6,102.7,0,1.6,0,0,13.7,0,0,224.7,7.4,0.3,0,49.6,12.6,0.3,4.1,29.9,0,0,0,0,2.5,0.5,16.2,0,0,0,0,0,4.4,0,0.8,3,0,0,0.3,0,0,26,0,0,0,0,1.1,7.4,61.6,0,10.7,70.4,"60.5,"
1962,0.5,0,8.8,140.3,106.8,0,1.1,0,0,15.1,0,0,235.9,5.8,2.2,0,49.3,12.3,0.3,4.4,31.8,0,0,0.3,0,4.9,0.8,12.1,0,0,0,0,0,4.1,0,0.5,5.2,0,0,0.3,0,0,19.7,0,0,0,0.3,1.1,6,49.3,1.4,12.3,85.8,"57,"
1963,0.5,0,7.7,147.7,109.9,0.3,1.4,0,0,15.1,0,0,259.2,6.6,3.8,0,47.4,13.7,0.3,3.6,27.4,0,0,0.5,0.3,5.5,1.9,12.3,0,0,0,0.3,0,3.6,0,1.4,5.5,0,0,0.3,0,0,19.2,0,0,0,0.3,1.1,7.4,43,1.4,9.9,78.6,"50.1,"
1964,0.5,0,7.1,154.5,104.4,0.3,1.1,0,0.3,16.4,0,0,264.1,7.7,3.8,0,51,14,0.3,2.2,12.1,0,0,0,0,4.7,0.5,15.9,0,0,0,0.3,0,3.3,0,0.8,5.5,0.3,0,0.3,1.4,0,19.2,0,0,0,0.3,1.1,7.7,44.9,1.1,13.2,99.5,"46.3,"
1965,0.5,0,6.6,182.2,90.7,0,1.4,0,0.5,16.2,0,0,760.5,10.1,4.1,0,60.3,22.5,0.3,0.8,12.6,0,0,1.1,0,6,0.3,25.8,0,0,0,0.5,0,5.8,0,0.8,6.3,0.3,0,0.3,1.9,0,17.5,0,0,0,0.5,1.1,8.5,42.2,0.8,21.9,114.2,"51,"
1966,0.5,0,7.7,200,75.9,0.8,0.5,0,0,18.6,0,0,800.5,16.2,3,0,66.3,36.4,0.3,1.1,14.2,0,0,1.9,0,7.9,0.5,27.1,0,0,0,0.5,0,6.3,0.5,1.4,6.8,0.3,0,0,1.6,0,17,0,0,0,0.5,1.4,7.9,51.2,1.1,23.6,126.8,"46.8,"
1967,0.5,0,7.1,226.6,66.3,0.8,0.5,0,0,18.1,0,0,754.2,17,7.9,0,76.2,26.3,0.3,1.6,16.2,0,0,0.5,0,8.2,0.8,27.4,0,0,0,0.5,0,4.7,0.5,1.4,6.6,0.3,0,0.3,1.6,0,12.9,0,0,0,0.5,1.1,9.3,60.8,1.6,24.1,141.1,"49,"
1968,0.5,0,7.9,242.7,54.5,0.5,0.5,0,0,19.5,0,0,703.3,22.2,19.2,0,73.7,39.7,0,1.4,28.8,0,0,1.4,0,7.9,0.8,29,0,0,0,0.5,0,4.9,0.5,1.1,6.8,0.3,0,0.3,2.2,0,14,0,0,0,0.8,1.6,12.6,76.7,1.4,24.7,151.2,"49.3,"
1969,0.5,0,7.4,257.3,51.2,0.8,0.5,0,0,21.4,0,0,684.4,14.2,17.3,0,73.7,41.6,0,2.2,26.3,0,0,1.4,0,8.2,0.8,23.6,0,0,0,0.5,0,4.9,0.5,1.1,7.1,0,0,0.3,1.6,0,14.5,0,0,0,0.8,1.1,12.9,78.9,1.9,32.6,172.3,"48.2,"
1970,0,0,9.9,272.3,47.9,0.5,0.5,0,0,24.1,0,0,672.9,17.3,18.6,0,72.1,59.2,0,2.7,22.2,0,0,1.4,0,9.3,0.8,27.4,0,0,0,0.5,0,7.1,0.8,0.8,7.4,0,0,0,1.9,0,9.3,0,0,0,0.8,1.4,13.2,83.8,1.6,33.4,154.5,"50.4,"
