"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,6,0,71,415.1,30.4,0,189.3,0,0,5.2,2.2,0,459.7,6.6,0,0,0,75.9,0.3,1.4,0.8,0,0,0,0,0,0,1.1,0,0.3,0,0,15.1,4.9,5.8,11.5,0.5,0,0.3,1.4,0,0,190.1,0,0,0,0.3,0,0,29,0.5,18.6,48.2,"164.4,"
1962,7.9,0,87.9,415.3,33.2,0,189.9,0,0,4.9,2.2,0,456.7,7.1,0,0,0,37,0.5,1.4,1.1,0,0,0,0,0,0,0.8,0,0.3,0,0,19.5,4.7,5.5,12.1,0.5,0,0,1.4,0,0,194.8,0,0,0,0.3,0,0,32.1,0.5,22.7,44.1,"151.8,"
1963,8.2,0,87.1,400.5,34.8,0,187.4,0,0,10.7,2.2,0,455.9,8.5,0,0,0,68.2,1.1,1.1,0.5,0,0,0,0,0,0,1.1,0,0.3,0,0,20.3,3,5.8,12.1,0.8,0,0,1.4,0,0,200,0,0,0,0.5,0,0,35.9,0.5,31.5,49.9,"159.5,"
1964,8.5,0,85.5,408.2,36.4,0,181.4,0,0,8.8,2.2,0,457,5.8,0,0,0,29.6,0,1.4,1.1,0,0,0,0,0,0,0.8,0,0.3,0,0,21.4,3.8,4.7,12.3,0.5,0,0,1.4,0,0,204.4,0,0,0,0.5,0.3,0,39.5,0.5,31.2,51,"150.7,"
1965,8.8,0,86.6,421.9,39.5,0,179.2,0,0,9,3,0,452.9,9.6,0,0,0,76.7,0.3,1.6,0.8,0,0,0,0,0,0,1.1,0,0,0,0,21.4,4.9,4.9,12.3,0.5,0,0,1.4,0,0,208.2,0,0,0,0.8,0.3,0,44.7,0.5,29,56.2,"124.1,"
1966,9.3,0,86,443.3,43.8,0,178.1,0,0,8.8,3,0,447.7,12.1,0,0,0,105.2,0,2.2,1.1,0,0,0,0,0,0,0.8,0,0,0,0.3,20.5,4.9,5.8,12.3,0.3,0,0.3,1.4,0,0,212.6,0,0,0,0.8,0.3,0,47.1,0.5,41.4,69,"171.2,"
1967,10.1,0,78.4,474.5,47.1,0,175.9,0,0,9.3,2.5,0,439.7,16.4,0,0,0,70.4,0.3,1.9,1.6,0,0,0,0,0,0,0.8,0,0,0,0.8,21.6,4.4,6.6,11.5,0.3,0,0,1.4,0,0,217,0,0,0,0.8,0.5,0,44.4,0.5,30.7,65.8,"158.4,"
1968,10.7,0,87.7,465.8,49,0,171,0,0,9.6,2.7,0,441.4,17.8,0.3,0,0,52.9,0,1.9,1.6,0,0,0,0,0,0,0.8,0,0,0,0.8,23,4.7,6.8,9.6,0.3,0,0.3,0.8,0,0,224.1,0,0,0,1.1,0.5,0,51.2,0.5,15.9,75.9,"183,"
1969,12.1,0,88.5,471,51,0,166,0,0,9.9,2.7,0,438.1,22.7,0.5,0,0,87.7,0,2.2,1.1,0,0,0,0,0,0,0.8,0,0.3,0,0.8,21.4,4.7,6.6,9.6,0.5,0,0,1.1,0,0,229.9,0,0,0,0.8,0.5,0,55.1,0.5,21.9,75.1,"148.8,"
1970,13.2,0,84.9,480.8,58.9,0,142.5,0,0,9.9,2.5,0,410.1,15.3,0.3,0,0,46.8,0,2.2,1.4,0,0,0,0,0,0,0.5,0,0.3,0,1.6,21.6,4.1,6.8,8.8,0.3,0,0,1.4,0,0,170.7,0,0,0,0.8,0.8,0,57.5,0.5,26.8,75.6,"146.8,"
