year,alcoholic-beverages_beverages_alcoholic,alcoholic-beverages_beverages_fermented,alcoholic-beverages_grapes,animal-products_animal_products,cereals_barley,cereals_cereals_other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas_and_plantains,fruits_citrus_other,fruits_dates,fruits_fruits_other,fruits_grapefruit,fruits_lemons_and_limes,fruits_oranges_and_mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed_oil,oilcrops_groundnut,oilcrops_oilcrops_other,oilcrops_olives,oilcrops_palm_oil,oilcrops_rape_and_mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses_other,spices_cloves,spices_pepper,spices_pimento,spices_spices_other,starchy-roots_cassava,starchy-roots_potatoes,starchy-roots_roots_other,starchy-roots_sweet_potatoes,starchy-roots_yams,stimulants_cocoa_beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners_other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables_other
1961,10.1,27.7,127.7,1105.8,208.2,3.8,6.6,0,7.1,6.6,14.2,0,329.6,87.4,16.4,0,0.5,202.2,3.3,7.1,34.5,3,0,9.9,0,13.4,7.1,1.1,2.2,2.5,0.3,1.9,1.9,15.6,1.4,1.4,0.5,0,0.3,0,0.5,0,181.4,6.3,0,0,7.9,14.5,0.5,142.7,2.2,5.2,24.9,172.3
1962,6.6,45.8,130.7,1100.5,213.2,0.5,6.8,0,6.6,6.8,15.9,0,274,266,17.8,0,0.5,103.3,3.6,7.4,36.4,3.8,0,5.5,0,17.3,10.1,1.1,0.8,2.7,0.8,3.6,3.3,15.3,0.5,0.8,0.5,0,0.3,0,0.5,0,182.5,5.2,0,0,5.2,13.4,0.5,145.2,2.2,5.8,26,160
1963,6.8,29,128.5,1085.2,226.6,2.7,6.3,0,6.3,6.6,22.5,0,286,201.6,17.8,0,0.5,102.2,3.3,7.7,31.8,3,0,5.2,0,18.9,5.8,0.8,2.5,3.8,0.3,1.6,5.2,15.9,1.1,1.1,0.5,0,0.3,0,0.5,0,181.1,7.7,0,0,4.4,14.8,0.5,115.6,4.4,5.5,32.6,174
1964,6.6,35.1,129.6,1094.8,232.3,4.1,6,0,6.6,6.3,23.6,0,265.5,196.7,19.2,0,0.5,97.8,3.8,7.4,41.4,2.7,0,8.5,0,14,6.3,1.1,2.7,3.3,0.3,1.9,6.8,17.8,1.4,0.5,0.5,0,0.3,0,0.5,0,165.8,10.4,0,0,6.8,15.1,0.8,131.5,3.8,4.9,31.2,168.5
1965,6.8,17.8,135.3,1113.4,226.6,9,4.9,0,9.3,5.5,23.8,0,272.9,219.7,17.8,0,0.5,109.9,3.6,7.9,40.3,3,0,6,0,16.4,5.8,1.1,3.3,3.8,0.5,1.6,4.9,15.6,1.1,0.8,0.8,0,0.3,0,0.5,0,159.2,4.1,0,0,4.9,16.4,0.8,131.8,4.4,5.2,36.4,158.6
1966,6,14,141.9,1093.4,223.6,6.3,3,0,4.7,8.2,20.8,0,262.5,141.4,19.7,0,0.5,171.5,3.6,7.9,40.5,3.3,0,4.9,0,18.1,7.1,1.4,2.5,4.4,0,0.8,9,16.7,1.1,1.4,0.5,0,0.3,0,0.5,0,156.7,2.7,0,0,4.4,13.2,0.5,130.7,4.7,4.9,37.5,172.6
1967,6.6,33.7,136.4,1043.6,219.5,3.3,2.7,0,3.6,5.5,18.6,0,252.6,332.1,19.5,0,0.5,152.6,4.4,7.4,40.3,2.7,0,3.3,0,14.2,4.4,1.1,3,5.8,0,0.8,8.8,16.2,0.8,1.1,0.5,0,0.3,0,0.5,0,154.8,3,0,0,3.8,14.8,0.5,126.3,5.2,4.7,41.1,166.6
1968,10.7,22.7,139.2,1055.9,212.9,1.6,2.7,0,3.6,6,16.2,0,265.2,130.1,18.4,0,0.5,161.1,4.1,7.7,37.8,3.6,0,1.6,0,15.6,6.3,1.1,2.5,5.5,0,0.5,11,16.2,0.8,0.8,0.5,0,0.3,0,0.5,0,153.7,0.3,0,0,4.9,17,0.5,137,5.5,3.6,43.8,161.6
1969,9,26.8,140.3,1063.3,224.7,3,2.2,0,2.7,3,15.6,0,262.5,294.8,18.9,0,0.5,126.6,3.8,8.2,38.9,3.6,0,6.3,0,12.9,4.4,1.1,4.1,4.1,0,0.5,10.1,17,1.1,0.5,0.5,0,0.3,0,0.5,0,153.7,0.3,0,0,3.8,15.6,0.5,135.1,5.8,2.5,46.8,165.5
1970,8.5,8.8,140.5,1118.1,222.2,2.2,2.2,0,3,5.8,20.5,0,256.2,123.6,19.2,0,0.3,162.5,4.4,7.4,41.6,4.4,0,3.3,0,15.3,4.4,1.1,4.7,4.7,0,2.7,11.8,16.2,0.5,0.8,0.5,0,0.3,0,0.5,0,150.7,0.3,0,0,6,15.3,0.5,136.4,5.8,3.6,46.6,160
1971,6,15.3,151.5,1086.6,222.2,2.2,2.5,0,1.4,4.9,21.1,0,247.1,194,20.3,0,0.5,114.8,4.4,7.1,39.2,4.1,0,3.8,0.5,14,6,1.4,3,5.2,0,3,10.4,16.7,0.5,0.5,0.5,0,0.3,0,0.5,0,149.9,0.5,0,0,6.3,13.7,0.5,135.3,4.4,1.9,44.1,169
1972,7.1,7.9,153.4,1086.8,214.2,3,1.9,0,3,4.7,20,0,259.7,101.4,21.4,0,0.3,117.8,4.9,6.8,40,4.4,0,3.6,0,15.1,4.7,1.4,0.8,6.6,0,2.7,12.1,17.3,0.8,0.8,0.8,0,0.3,0,0.5,0,143,0.3,0,0,4.9,18.4,0.8,148.8,4.7,1.1,54,166.6
1973,6.3,17.5,148.5,1123.6,218.4,3.6,2.2,0,3.3,8.2,14,0,251.8,156.4,28.2,0,0.5,133.4,5.8,7.1,45.5,4.4,0,2.7,0.3,17,6.8,1.4,3.3,4.1,0,3,13.4,18.4,1.1,0.5,0.5,0,0.5,0,0.8,0,140.8,0,0,0,6.3,15.6,0.8,131,5.2,2.5,57.3,170.1
1974,9.3,12.9,141.9,1123.8,214.5,1.1,1.9,0,2.7,6.3,17,0,230.4,137.3,27.4,0,0.5,110.1,5.5,7.1,42.7,4.7,0,1.1,0.3,12.9,4.9,1.4,3,5.8,0,4.4,12.1,15.9,0.5,0.8,0.5,0,0.5,0,0.5,0,135.6,0,0,0,5.8,15.6,0.5,135.1,8.2,2.5,62.5,174.2
