"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0.3,0,1.1,235.1,1.6,0,85.2,0,0,210.1,0,0,6.3,0,77.5,0,0,38.9,0,0,0,0,0,11.2,0,0.8,2.7,0,0,0,0,5.5,0,0,4.4,0,9.6,0,0,0,0,94.2,1.4,97,72.9,0,0,0,0,1.9,0,0,0,"87.4,"
1962,0.3,0,0.8,231.8,2.2,0,95.9,0,0,207.1,0,0,7.7,0,76.2,0,0,38.1,0,0,0,0,0,12.1,0,1.4,2.7,0,0,0,0,5.2,0,0,5.2,0,8.5,0,0,0,0,82.2,2.2,100,71.5,0,0,0.3,0,2.5,0,0,0,"85.5,"
1963,0.3,0,1.9,229.9,2.5,0,86.6,0,0,201.9,0,0,5.5,0,74.8,0,0,37.5,0,0,0,0,0,11.5,0,1.1,2.5,0,0,0,0,5.2,0,0,6.3,0,8.5,0,0,0,0,65.5,2.7,107.7,70.1,0,0,0,0,1.6,0,0,0,"84.1,"
1964,0.3,0,1.1,252.6,1.9,0,75.3,0,0,197.8,0,0,7.1,0,73.4,0,0,36.7,0,0,0,0,0,11.2,0,0.8,2.5,0,0,0,0,5.2,0,0,6,0,9,0,0,0,0.3,46.3,4.4,105.5,66.6,0,0,0,0,1.6,0,0,0,"82.5,"
1965,0.3,0,1.6,250.1,3,0,71,0,0,200.5,0,0,7.9,0,74.2,0,0,35.9,0,0,0,0,0,12.3,0,0.5,2.5,0.5,0,0,0,4.9,0,0,8.8,0,9,0,0,0,0.3,46,4.4,112.6,60.5,0,0,0.5,0,2.7,0,0,0,"80.8,"
1966,0.5,0,1.6,247.7,4.4,0,69.9,0,0,206.3,0,0,8.5,0,72.9,0,0,35.3,0,0,0,0,0,12.1,0,0.5,2.5,0.3,4.4,0,0,4.9,0,0,10.1,0,8.8,0,0,0,0.3,70.1,6.3,137,59.5,0,0,2.5,0,4.4,0,0,0,"89.9,"
1967,0.5,0,3,237.3,4.9,0,71.5,0,0,209,0,0,11.5,0,72.9,0,0,35.1,0,0,0,0,0,12.1,0,1.4,2.5,0.3,4.4,0,0,4.9,0,0,7.7,0,7.4,0,0,0,0.3,38.9,7.1,134.5,55.9,0,0.3,1.9,0,4.1,0,0,0,"89.9,"
1968,0.5,0,2.2,231.8,5.8,0,56.2,0,0,214,0,0,6.8,0,72.9,0,0,34.8,0,0,0,0,0,13.2,0,0,2.5,0.3,4.4,0,0,4.7,0,0,12.3,0,7.9,0,0,0,0.3,76.4,7.1,140.5,62.5,0,0.3,1.1,0,3.6,0,0,0,"89.9,"
1969,0.5,0,3,227.4,6.6,0,66.6,0,0,200.3,0,0,12.1,0,72.6,0,0,34.8,0,0,0,0,0,11.2,0,2.7,2.5,0.3,4.4,0,0,4.7,0,0,14,0,5.5,0,0,0,0.3,105.2,4.7,141.9,76.2,0,0.3,0.8,0,6,0.3,0,0,"89.9,"
1970,0.5,0,1.6,227.1,8.2,0,54,0,0,194,0,0,11.5,0,72.6,0,0,35.1,0,0,0,0,0,12.1,0,2.5,2.5,0.3,4.4,0,0,4.7,0,0,11.5,0,11.2,0,0,0,0.3,81.1,5.2,143,66,0,0,2.5,0,3.8,0.3,0,0,"89.6,"
