"year","alcoholic-beverages_beverages_alcoholic","alcoholic-beverages_beverages_fermented","alcoholic-beverages_grapes","animal-products_animal_products","cereals_barley","cereals_cereals_other","cereals_maize","cereals_millets","cereals_oats","cereals_rice","cereals_rye","cereals_sorghum","cereals_wheat","fruits_apples","fruits_bananas_and_plantains","fruits_citrus_other","fruits_dates","fruits_fruits_other","fruits_grapefruit","fruits_lemons_and_limes","fruits_oranges_and_mandarines","fruits_pineapples","miscellaneous_miscellaneous","oilcrops_coconuts","oilcrops_cottonseed_oil","oilcrops_groundnut","oilcrops_oilcrops_other","oilcrops_olives","oilcrops_palm_oil","oilcrops_rape_and_mustard","oilcrops_sesame","oilcrops_soybean","oilcrops_sunflower","oilcrops_treenuts","pulses_beans","pulses_peas","pulses_pulses_other","spices_cloves","spices_pepper","spices_pimento","spices_spices_other","starchy-roots_cassava","starchy-roots_potatoes","starchy-roots_roots_other","starchy-roots_sweet_potatoes","starchy-roots_yams","stimulants_cocoa_beans","stimulants_coffee","stimulants_tea","sugarcrops_sugar","sugarcrops_sweeteners_other","vegetables_onions","vegetables_tomatoes","vegetables_vegetables_other,"
1961,0,0,0,21.3,0,0,0,0,0,1.2,0,0,6.2,0,1,0.1,0,1.4,0,0,0,0.2,0,4.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.1,0,0.2,0,0.2,0,0,0,0,0,"0.1,"
1962,0,0,0,21.1,0,0,0,0,0,1.1,0,0,6.1,0,0.7,0.1,0,1.4,0,0,0,0.2,0,4.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.7,0,0.3,0.1,0.1,0,0,0,0,0,"0.1,"
1963,0,0,0,22.4,0,0,0,0,0,1.2,0,0,5.7,0,0.8,0.1,0,1.4,0,0,0,0.2,0,4.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.8,0,0.3,0,0.1,0,0,0,0,0,"0.2,"
1964,0,0,0,22.9,0,0,0,0,0,1.3,0,0,6.8,0,0.9,0.1,0,1.4,0,0,0,0.2,0,4.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.6,0,0.2,0,0.2,0,0,0,0,0,"0.2,"
1965,0,0,0,21.6,0.1,0,0,0,0,1.1,0,0,7.2,0,1,0.1,0,1.4,0,0,0,0.2,0,4.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.6,0,0.3,0.1,0.2,0,0,0,0,0,"0.2,"
1966,0,0,0,20.6,0.1,0,0,0,0,1.7,0,0,5,0,1.3,0.1,0,1.5,0,0,0,0.2,0,4.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.5,0,0.3,0.1,0.2,0,0,0,0,0,"0.2,"
1967,0,0,0,19,0.1,0,0,0,0,1.2,0,0,7.1,0,1.8,0.1,0,1.4,0,0,0,0.2,0,4.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.2,0,0.2,0.1,0.2,0,0,0,0,0,"0.1,"
1968,0,0,0,19.6,0.1,0,0,0,0,1.3,0,0,7,0,1.8,0.1,0,1.5,0,0,0,0.2,0,5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.9,0,0.3,0.1,0.2,0,0,0,0,0,"0.1,"
1969,0,0,0,19.3,0.1,0,0,0,0,1.2,0,0,7.6,0,1.5,0,0,1.5,0,0,0,0.2,0.1,5.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.7,0,0.3,0.2,0.2,0,0,0,0,0,"0.1,"
1970,0,0,0,21.3,0.1,0,0,0,0,0.8,0,0,6.9,0,1.7,0.1,0,1.5,0,0,0,0.3,0.1,5.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.5,0,0.3,0.2,0.2,0,0,0,0,0,"0.1,"
1971,0,0,0,23.3,0.1,0,0,0,0,0.8,0,0,6.5,0,1.6,0,0,1.6,0,0,0,0.2,0.1,6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,9,0,0.3,0.1,0.2,0,0,0,0,0,"0.2,"
1972,0,0,0,22.9,0.1,0,0,0,0,1.1,0,0,6.3,0,1.8,0,0,1.6,0,0,0,0.2,0.2,6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,9,0,0.3,0.1,0.1,0,0,0,0,0,"0.2,"
1973,0,0,0,19.8,0.2,0,0,0,0,1.8,0,0,6.5,0,2,0,0,1.6,0,0,0,0.3,0.3,6.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.7,0,0.3,0.2,0.1,0.1,0,0,0,0,"0.2,"
1974,0,0,0,20.6,0.2,0,0,0,0,1.3,0,0,7.8,0,1.9,0,0,1.6,0,0,0,0.3,0.2,6.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.2,0,0.3,0.1,0.1,0,0,0,0,0,"0.2,"
1975,0,0,0,24.4,0.2,0,0,0,0,0.7,0,0,8.8,0,2,0,0,1.6,0,0,0,0.3,0.3,6.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,9.6,0,0.3,0.2,0,0.1,0,0,0,0,"0.2,"
1976,0,0,0,24.8,0.3,0.2,0,0,0,1,0,0,8.8,0,2,0,0,1.7,0,0,0,0.3,0,6,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,9.9,0,0.3,0.5,0,0.1,0,0,0,0,"0.1,"
1977,0,0,0,29.3,0.3,0.2,0,0,0,1.4,0,0,7.2,0,1.8,0,0,1.6,0,0,0,0.3,0.1,5.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,10,0,0.3,0.1,0,0.1,0,0,0,0,"0.2,"
1978,0,0,0,27.4,0.3,0.1,0,0,0,1.3,0,0,7.9,0,1.8,0,0,1.6,0,0,0,0.3,0.1,5.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,9.7,0,0.3,0.1,0,0.1,0,0,0,0,"0.3,"
1979,0,0,0,30.4,0.2,0.1,0,0,0,1,0,0,8.1,0,1.7,0,0,1.6,0,0,0,0.3,0.1,5.5,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,9.8,0,0.3,0.1,0,0.1,0,0,0,0,"0.2,"
1980,0,0,0,29.8,0.1,0.1,0,0,0,2.1,0,0,6.9,0,1.5,0.1,0,1.6,0,0,0,0.3,0.1,5.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,10.5,0,0.3,0.1,0,0.1,0,0,0,0,"0.2,"
1981,0,0,0,33.3,0.1,0.1,0,0,0,2.4,0,0,6.3,0,1.9,0,0,1.5,0,0,0,0.3,0.1,5.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,9.9,0,0.3,0.1,0,0.1,0,0,0,0,"0.2,"
1982,0,0,0,33.4,0.2,0.3,0,0,0,2.1,0,0,7.9,0,1.7,0,0,1.4,0,0,0,0.3,0.1,5.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,10.4,0,0.3,0.2,0,0,0,0,0,0,"0.2,"
1983,0,0,0,27.8,0.3,0.1,0,0,0,1.9,0,0,9.1,0,1.8,0,0,1.3,0,0,0,0.2,0.1,5.4,0,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,10.7,0,0.3,0.2,0,0,0,0,0,0,"0.2,"
1984,0,0,0,31.5,0.3,0,0,0,0,1.9,0,0,9.1,0,2,0,0,1.3,0,0,0,0.2,0.1,5.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,10.4,0,0.3,0.2,0,0.1,0,0,0,0,"0.2,"
1985,0,0,0,36.9,0.3,0,0,0,0,2.2,0,0,8.7,0,2,0,0,1.2,0,0,0,0.2,0,5.3,0,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,10.2,0,0.3,0.5,0,0.1,0,0,0,0,"0.3,"
1986,0,0,0,34.7,0.3,0,0,0,0,2.4,0,0,8.2,0,2,0,0,1.1,0,0,0,0.3,0.1,5.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,10.2,0,0.3,0.3,0,0.1,0,0,0,0,"0.2,"
1987,0,0,0,42,0.5,1.6,0,0,0,1.6,0,0,6.6,0,2.1,0,0,1,0,0,0,0.2,0,5.1,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0.1,10.1,0,0.3,0.3,0,0,0,0,0,0,"0.3,"
1988,0,0,0,39.6,0.4,1.6,0,0,0,2.8,0,0,6.5,0,2.1,0,0,0.9,0,0,0,0.2,0,5.2,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0,0.1,10,0,0.3,0.4,0,0.1,0,0,0,0,"0.3,"
1989,0,0,0,41.2,0.4,1.6,0,0,0,2.8,0,0,6.5,0,1.1,0,0,0.9,0,0,0,0.2,0,5.2,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.2,0,0.1,9.5,0,0.3,0.5,0,0,0,0,0,0,"0.3,"
1990,0,0,0,41.1,0.3,3.3,0,0,0,2.7,0,0,6.7,0,1.2,0,0,0.8,0,0,0,0.2,0.1,5.1,0,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.3,6.9,0,0.3,0.5,0.1,0.1,0,0,0,0,"0.3,"
1991,0,0,0,41,0.3,0,0,0,0,5.5,0,0,7.7,0,0.9,0,0,0.8,0,0,0,0.2,0.1,4.9,0,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.1,5.3,0,0.3,0.5,0,0,0,0,0,0,"0.3,"
1992,0,0,0,43.1,0.3,0,0,0,0,6.4,0,0,7.9,0,0.8,0,0,0.6,0,0,0,0.1,0.1,4.9,0,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.1,2.5,0,0.3,0.7,0.1,0.1,0,0,0,0,"0.3,"
1993,0,0,0,43.5,0.5,0.1,0,0,0,4.5,0,0,7,0,0.8,0,0,0.6,0,0,0,0.1,0.3,4.8,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,1.7,0,0.3,0.7,0,0.1,0,0,0,0,"0.3,"
1994,0,0,0,42.1,0.4,0.5,0,0,0,6.7,0,0,8.3,0,0.8,0,0,0.7,0,0,0,0.2,0.4,3.9,0,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.2,1.2,0,0.4,0.8,0,0.1,0,0,0,0,"0.3,"
1995,0,0,0,40.6,0.3,0.7,0,0,0,8.7,0,0,5.8,0,1,0,0,0.8,0,0,0,0.2,0.4,4.8,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,1.3,0,0.5,0.8,0,0.1,0,0,0,0,"0.3,"
1996,0,0,0,43.7,0.4,0.7,0,0,0,5.2,0,0,7.3,0,1.1,0,0,0.9,0,0,0,0.2,0.4,4.7,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,2.1,0,0.4,0.7,0,0,0,0,0,0,"0.3,"
1997,0,0,0,36.7,0.2,0.6,0,0,0,6.2,0,0,6.7,0,1.3,0,0,0.9,0,0,0,0.2,0.4,4.7,0,0,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,4,0,0.4,0.7,0,0.1,0,0,0,0,"0.3,"
1998,0,0,0,41.3,0.3,0,0,0,0,5.5,0,0,6.6,0,1.5,0,0,0.8,0,0,0,0.2,0.4,4.6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,4.3,0,0.5,0.7,0,0.1,0,0,0,0,"0.3,"
1999,0,0,0,42.2,0.5,0,0,0,0,7,0,0,6.1,0,1.6,0,0,0.8,0,0,0,0.2,0.5,4.6,0,0,0.6,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.1,4.7,0,0.6,0.8,0,0,0,0,0,0,"0.4,"
2000,0,0,0,45.3,0.3,0,0,0,0,4.6,0,0,9.6,0,1.6,0,0,0.8,0,0,0,0.2,0.4,4.5,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,4.6,0,0.7,0.8,0,0,0,0,0,0,"0.4,"
2001,0,0,0,48.6,0.4,0,0,0,0,4,0,0,10.1,0,1.6,0,0,0.9,0,0,0,0.2,0.3,4.8,0,0.1,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,4.6,0,0.4,0.7,0,0,0,0,0,0,"0.5,"
2002,0,0,0,46.9,0.4,0,0,0,0,3.4,0,0,10.9,0,1.7,0,0,0.9,0,0,0,0.2,0.4,4.4,0,0.5,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,5.1,0,0.6,0.7,0.1,0.1,0,0,0,0,"0.4,"
2003,0,0,0,46.8,0.3,0,0,0,0,3.4,0,0,10.6,0,1.4,0,0,0.9,0,0,0,0.2,0.5,5,0,0.5,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,5.3,0,0.6,0.8,0.4,0,0,0,0,0,"0.5,"
2004,0,0,0,43.9,0.3,0,0,0,0,2.6,0,0,11.7,0,1.4,0,0,0.9,0,0,0,0.2,0.9,5.2,0,0.2,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.2,5.5,0,0.6,0.7,0.4,0,0,0,0,0,"0.5,"
2005,0,0,0,45.9,0.3,0,0,0,0,2.3,0,0,10.8,0,1.4,0,0,0.9,0,0,0,0.2,0.7,5.1,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,5.6,0,0.6,0.8,0.5,0.1,0,0,0,0,"0.5,"
2006,0,0,0,42.4,0.4,0,0,0,0,2.7,0,0,10.8,0,1.7,0,0,0.9,0,0,0,0.2,0.6,5.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,5.2,0,0.6,0.9,0.4,0,0,0,0,0,"0.6,"
2007,0,0,0,45.2,0.3,0,0,0,0,2.2,0,0,11.2,0,1.8,0,0,0.9,0,0,0,0.2,0.5,5.3,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0.2,5.8,0,0.6,0.9,0.4,0.1,0,0,0,0,"0.6,"
2008,0,0,0,47.3,0.3,0,0,0,0,2.1,0,0,11.1,0,1.8,0,0,0.9,0,0,0,0.2,0.5,5.5,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.2,0,0.2,5.5,0,0.6,0.9,0.4,0.1,0,0,0,0,"0.6,"
2009,0,0,0,47.6,0.4,0,0,0,0,2.1,0,0,10.8,0,2,0,0,0.9,0,0,0,0.2,0.5,5.5,0,0,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.3,5.8,0,0.7,0.9,0.6,0.1,0,0,0,0,"0.6,"
