year,alcoholic_beverages_beverages-alcoholic,alcoholic_beverages_beverages-fermented,alcoholic_beverages_grapes,animal_products_animal-products,cereals_barley,cereals_cereals-other,cereals_maize,cereals_millets,cereals_oats,cereals_rice,cereals_rye,cereals_sorghum,cereals_wheat,fruits_apples,fruits_bananas-and-plantains,fruits_citrus-other,fruits_dates,fruits_fruits-other,fruits_grapefruit,fruits_lemons-and-limes,fruits_oranges-and-mandarines,fruits_pineapples,miscellaneous_miscellaneous,oilcrops_coconuts,oilcrops_cottonseed-oil,oilcrops_groundnut,oilcrops_oilcrops-other,oilcrops_olives,oilcrops_palm-oil,oilcrops_rape-and-mustard,oilcrops_sesame,oilcrops_soybean,oilcrops_sunflower,oilcrops_treenuts,pulses_beans,pulses_peas,pulses_pulses-other,spices_cloves,spices_pepper,spices_pimento,spices_spices-other,starchy_roots_cassava,starchy_roots_potatoes,starchy_roots_roots-other,starchy_roots_sweet-potatoes,starchy_roots_yams,stimulants_cocoa-beans,stimulants_coffee,stimulants_tea,sugarcrops_sugar,sugarcrops_sweeteners-other,vegetables_onions,vegetables_tomatoes,vegetables_vegetables-other,
1961,0,0.3,3.6,4257.8,11.1,12.6,268.9,60.5,9.8,98.8,10.9,89.9,243.7,5.1,13.5,0.6,1.7,51.2,0.2,1.5,2,0.4,0.6,848.6,172.2,509.2,222.8,234.8,311.8,72.7,61.7,249.1,166.3,71.3,17.9,3.2,30.6,0.1,0,11.8,10.5,17.8,11.6,11.1,9.1,6,29.3,0,0,1.5,0.3,0.7,5.5,32.4,
1962,0,0.3,3.9,4267.3,11.1,13.6,268.6,60.8,9.4,99.5,10.9,93.5,243.6,5.9,13.8,0.6,1.7,51.2,0.2,1.9,2.6,0.5,0.8,849.6,175.9,549.6,232.5,240.2,319.9,80.2,69.9,297.5,179.4,71,17.3,3.1,30.5,0.1,0,12.1,11.4,17.6,11.2,11.5,9.3,5.8,31.5,0,0,1.6,0.3,0.7,5.8,32.6,
1963,0,0.3,3,4291.3,9.7,13.6,268.7,61.4,9.2,102.2,10.9,92.3,245.2,5.9,13.7,0.6,1.7,50.9,0.2,2.3,2.1,0.3,0.7,832.9,172.1,584,238,237.1,336.9,72.1,70.8,317.3,194.4,69.5,17.8,3.3,31.2,0.1,0,11.9,11.2,17.7,11.4,11,9.2,5.8,31.2,0,0,1.6,0.2,1.3,5.8,33.1,
1964,0,0.3,3.9,4336.6,9.8,13.3,276.8,64.2,9.5,103.8,9.8,90.9,251.6,6.7,14.1,0.6,1.8,50.6,0.3,2,2.5,0.3,0.9,825.7,177.5,549.8,238.5,262.4,338.9,71.6,70.6,334.9,208.6,70.1,18.1,3.2,31.1,0.2,0,12.2,11.3,17.1,11.6,10.9,9.3,5.8,33.8,0,0,1.6,0.2,1.1,5.9,33.8,
1965,0,0.3,3.8,4378.5,10,13,277.7,61.6,10.5,105.2,10.2,85.9,254.4,5.8,13.9,0.6,1.7,50.2,0.2,1.4,2.6,0.3,1.3,826.2,181.3,586.7,259.7,258.6,329.6,91.9,70.5,340.1,219.6,72.8,18.5,3.5,31.1,0.1,0,12.1,11,17.8,11.6,11,9.1,5.7,36,0,0,1.7,0.2,0.8,6,33,
1966,0,0.3,4.2,4446.7,10.5,12.4,276.4,63.7,9.9,105.6,9.5,85.1,256.2,6.2,13.8,0.7,1.9,50.4,0.3,1.4,2.6,0.4,1.6,846.8,173.8,583.7,257.4,265.1,338.7,86.2,66.3,360.5,252.8,73.9,18.8,3.7,30.3,0.8,0,12.5,12,17.3,10.8,11.2,9.5,5.4,38.4,0,0,1.6,0.2,1.2,6.1,33.3,
1967,0,0.3,3.7,4476.3,10,11.5,284.9,62.6,7.8,104.2,9.3,86.9,258.5,7.2,14.2,0.7,1.8,51.1,0.2,2.2,2.8,0.4,1.7,818,168.2,578.6,282.3,260.1,348.4,103.7,68.2,360.3,295.1,78.5,19.7,3.1,30.7,0.1,0,13,12,17,11.2,10.9,8.7,5.5,38.9,0,0,1.3,0.2,1.2,6.5,33.6,
1968,0,0.3,4.6,4588.9,9.4,11.2,284.6,62.1,8.3,105.1,8.9,85.6,263.8,6.6,14.7,0.7,1.8,51.3,0.4,2.5,3,0.2,1.8,776.8,167.2,589.5,307.8,273.8,345.5,111,75.5,367.8,330.9,76.9,18.8,3.4,30.1,0.2,0,12.8,12.4,17,10.9,11.2,8.7,5.8,39.5,0,0,1.4,0.2,0.9,6.7,34.2,
1969,0,0.3,4.3,4630,9.8,11.2,287.1,63.3,7.6,106.3,8.5,82,267,6.9,14.6,0.6,1.6,50.6,0.4,2.7,3,0.4,1.8,783.2,180.2,573.4,288.7,268,358.8,107.9,74.6,412.9,329.1,78.6,18.6,3,29.5,0.2,0,12,11.7,16.7,11.1,11,8.9,5.5,44.7,0,0,1.3,0.2,1.2,7,34.5,
1970,0,0.2,4.4,4715.6,9.7,10.4,283.3,63.4,7.4,108.8,8.3,80.3,270.7,6.4,14.6,0.6,1.7,51,0.4,2.1,3.4,0.5,1.8,772.8,168.7,559.5,292.7,281.8,355.9,115.7,79.7,503.2,307.7,81.8,18.3,2.9,29.5,0.2,0,12.4,12.4,16.9,11.7,10.3,8.7,5.4,52.7,0,0,1.3,0.2,1.4,7.2,34.6,
